level_0,index,sentence,source_file,begin,end,annotator,_annotation,text,_sentence_text,annotation,aspect_cat,results,sentence_split,iob
0,0,BHL_61_sample_Dutch_19.0.txt_0-95,"['BHL_61_sample_Dutch_19.0.txt', 'BHL_61_sample_Dutch_19.0.txt']","[8, 38]","[29, 59]","['Eltine_Janssens', 'Eltine_Janssens']","['w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=8, end=29, entitycategory=PERSON)', 'w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=38, end=59, entitycategory=PERSON)']","['Veth, Pieter Johannes', 'Veth, Pieter Johannes']","Author: Veth, Pieter Johannes,
Title: Veth, Pieter Johannes,
Language: Dutch
TWEEDE HOOFDSTUK .","['ASPECT', 'ASPECT']","['PERSON', 'PERSON']","(['Author', 'Veth', ',', 'Pieter', 'Johannes', ',', 'Title', 'Veth', ',', 'Pieter', 'Johannes', ',', 'Language', 'Dutch', 'TWEEDE', 'HOOFDSTUK', '.'], ['O', 'B-PERSON', 'I-PERSON', 'I-PERSON', 'I-PERSON', 'O', 'O', 'B-PERSON', 'I-PERSON', 'I-PERSON', 'I-PERSON', 'O', 'O', 'O', 'O', 'O', 'O'])","['Author', 'Veth', ',', 'Pieter', 'Johannes', ',', 'Title', 'Veth', ',', 'Pieter', 'Johannes', ',', 'Language', 'Dutch', 'TWEEDE', 'HOOFDSTUK', '.']","['O', 'B-PERSON', 'I-PERSON', 'I-PERSON', 'I-PERSON', 'O', 'O', 'B-PERSON', 'I-PERSON', 'I-PERSON', 'I-PERSON', 'O', 'O', 'O', 'O', 'O', 'O']"
1,1,BHL_61_sample_Dutch_19.0.txt_1012-1103,['BHL_61_sample_Dutch_19.0.txt'],[1086],[1095],['Eltine_Janssens'],"['w.c.Emotions_Entities(ASP_SENT_NULL=NULL, begin=1086, end=1095, entitycategory=PERSON, sentimentcategory=3)']",['inlanders'],"Vervoer der goederen , voorziening in behoeften op reis en verkeer met de inlanders „ 260 .",['NULL_CAT'],['PERSON'],"(['Vervoer', 'der', 'goederen', ',', 'voorziening', 'in', 'behoeften', 'op', 'reis', 'en', 'verkeer', 'met', 'de', 'inlanders', '260', '.'], ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'O', 'O'])","['Vervoer', 'der', 'goederen', ',', 'voorziening', 'in', 'behoeften', 'op', 'reis', 'en', 'verkeer', 'met', 'de', 'inlanders', '260', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'O', 'O']"
2,2,BHL_61_sample_Dutch_19.0.txt_10120-10570,"['BHL_61_sample_Dutch_19.0.txt', 'BHL_61_sample_Dutch_19.0.txt', 'BHL_61_sample_Dutch_19.0.txt', 'BHL_61_sample_Dutch_19.0.txt']","[10128, 10218, 10426, 10550]","[10150, 10225, 10436, 10559]","['Eltine_Janssens', 'Eltine_Janssens', 'Eltine_Janssens', 'Eltine_Janssens']","['w.c.Emotions_Entities(ASP_SENT_NULL=NULL, begin=10128, end=10150, entitycategory=PERSON, sentimentcategory=3)', 'w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=10218, end=10225, entitycategory=LOCATION)', 'w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=10426, end=10436, entitycategory=LOCATION)', 'w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=10550, end=10559, entitycategory=PERSON)']","['Gouvernements-stuurman', 'Batavia', 'Djambische', 'Europeaan']","Wat den Gouvernements-stuurman betreft , dien ik voornemens was te vragen , deze kan , naar ik te Batavia vernam , niet gemist worden ; bij nader inzien zouden trouwens de uitgaven die zulk een persoon zou vorderen , nuttiger besteed kunnen worden aan het aanwerven van enkele inlandsche personen , in het Djambische zelf door mij uit te kiezen- mij persoonlijk aan wal begeef , opdat zij zich meer en meer aan den omgang met een Europeaan gewennen .","['NULL_CAT', 'ASPECT', 'ASPECT', 'ASPECT']","['PERSON', 'LOCATION', 'LOCATION', 'PERSON']","(['Wat', 'den', 'Gouvernements', 'stuurman', 'betreft', ',', 'dien', 'ik', 'voornemens', 'was', 'te', 'vragen', ',', 'deze', 'kan', ',', 'naar', 'ik', 'te', 'Batavia', 'vernam', ',', 'niet', 'gemist', 'worden', ';', 'bij', 'nader', 'inzien', 'zouden', 'trouwens', 'de', 'uitgaven', 'die', 'zulk', 'een', 'persoon', 'zou', 'vorderen', ',', 'nuttiger', 'besteed', 'kunnen', 'worden', 'aan', 'het', 'aanwerven', 'van', 'enkele', 'inlandsche', 'personen', ',', 'in', 'het', 'Djambische', 'zelf', 'door', 'mij', 'uit', 'te', 'kiezen', 'mij', 'persoonlijk', 'aan', 'wal', 'begeef', ',', 'opdat', 'zij', 'zich', 'meer', 'en', 'meer', 'aan', 'den', 'omgang', 'met', 'een', 'Europeaan', 'gewennen', '.'], ['O', 'O', 'B-PERSON', 'I-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOCATION', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOCATION', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'O', 'O'])","['Wat', 'den', 'Gouvernements', 'stuurman', 'betreft', ',', 'dien', 'ik', 'voornemens', 'was', 'te', 'vragen', ',', 'deze', 'kan', ',', 'naar', 'ik', 'te', 'Batavia', 'vernam', ',', 'niet', 'gemist', 'worden', ';', 'bij', 'nader', 'inzien', 'zouden', 'trouwens', 'de', 'uitgaven', 'die', 'zulk', 'een', 'persoon', 'zou', 'vorderen', ',', 'nuttiger', 'besteed', 'kunnen', 'worden', 'aan', 'het', 'aanwerven', 'van', 'enkele', 'inlandsche', 'personen', ',', 'in', 'het', 'Djambische', 'zelf', 'door', 'mij', 'uit', 'te', 'kiezen', 'mij', 'persoonlijk', 'aan', 'wal', 'begeef', ',', 'opdat', 'zij', 'zich', 'meer', 'en', 'meer', 'aan', 'den', 'omgang', 'met', 'een', 'Europeaan', 'gewennen', '.']","['O', 'O', 'B-PERSON', 'I-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOCATION', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOCATION', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'O', 'O']"
3,3,BHL_61_sample_Dutch_19.0.txt_10571-10774,['BHL_61_sample_Dutch_19.0.txt'],[10609],[10629],['Eltine_Janssens'],"['w.c.Emotions_Entities(ASP_SENT_NULL=NULL, begin=10609, end=10629, entitycategory=PERSON, sentimentcategory=3)']",['personeel der barkas'],"Op die wijze zou het gevaar voor liet personeel der barkas niet te groot zijn , om mij vrijheid te geven mij te belasten met de verantwoording voor personen die zich blinde- lings aan mij toevertrouwen .",['NULL_CAT'],['PERSON'],"(['Op', 'die', 'wijze', 'zou', 'het', 'gevaar', 'voor', 'liet', 'personeel', 'der', 'barkas', 'niet', 'te', 'groot', 'zijn', ',', 'om', 'mij', 'vrijheid', 'te', 'geven', 'mij', 'te', 'belasten', 'met', 'de', 'verantwoording', 'voor', 'personen', 'die', 'zich', 'blinde', 'lings', 'aan', 'mij', 'toevertrouwen', '.'], ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'I-PERSON', 'I-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O'])","['Op', 'die', 'wijze', 'zou', 'het', 'gevaar', 'voor', 'liet', 'personeel', 'der', 'barkas', 'niet', 'te', 'groot', 'zijn', ',', 'om', 'mij', 'vrijheid', 'te', 'geven', 'mij', 'te', 'belasten', 'met', 'de', 'verantwoording', 'voor', 'personen', 'die', 'zich', 'blinde', 'lings', 'aan', 'mij', 'toevertrouwen', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'I-PERSON', 'I-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
4,4,BHL_61_sample_Dutch_19.0.txt_10775-11360,"['BHL_61_sample_Dutch_19.0.txt', 'BHL_61_sample_Dutch_19.0.txt', 'BHL_61_sample_Dutch_19.0.txt', 'BHL_61_sample_Dutch_19.0.txt', 'BHL_61_sample_Dutch_19.0.txt', 'BHL_61_sample_Dutch_19.0.txt', 'BHL_61_sample_Dutch_19.0.txt']","[10788, 10805, 11094, 11122, 11150, 11183, 11265]","[10797, 10815, 11105, 11130, 11168, 11193, 11290]","['Eltine_Janssens', 'Eltine_Janssens', 'Eltine_Janssens', 'Eltine_Janssens', 'Eltine_Janssens', 'Eltine_Janssens', 'Eltine_Janssens']","['w.c.Emotions_Entities(ASP_SENT_NULL=NULL, begin=10788, end=10797, entitycategory=PERSON, sentimentcategory=3)', 'w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=10805, end=10815, entitycategory=LOCATION)', 'w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=11094, end=11105, entitycategory=LOCATION)', 'w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=11122, end=11130, entitycategory=LOCATION)', 'w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=11150, end=11168, entitycategory=LOCATION)', 'w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=11183, end=11193, entitycategory=LOCATION)', 'w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=11265, end=11290, entitycategory=ORGANISATION)']","['bevolking', 'Djambische', 'Djambi-rijk', 'Korintji', 'Rantau Batang Hari', 'Djambische', 'Nederlandsch Gouvernement']","Maar ziet de bevolking in het Djambische dat er eensklaps van twee zijden geageerd wordt om haar land binnen te dringen , — zonder nog te spreken van den indruk dien het verrichten der wetenschappelijke onderzoekingen en het behandelen van instru- menten op haar maken moet , — zoo zal in weinig tijds door het geheele Djambi-rijk ( waaronder wij Korintji rekenen ) en in de Rantau Batang Hari , die met het Djambische voortdurend in betrek- king staat ' ) , de alarmkreet opgaan , dat het Nederlandsch Gouvernement thans werkelijk aan- stalten maakt om zich in hunne zaken te mengen .","['NULL_CAT', 'ASPECT', 'ASPECT', 'ASPECT', 'ASPECT', 'ASPECT', 'ASPECT']","['PERSON', 'LOCATION', 'LOCATION', 'LOCATION', 'LOCATION', 'LOCATION', 'ORGANISATION']","(['Maar', 'ziet', 'de', 'bevolking', 'in', 'het', 'Djambische', 'dat', 'er', 'eensklaps', 'van', 'twee', 'zijden', 'geageerd', 'wordt', 'om', 'haar', 'land', 'binnen', 'te', 'dringen', ',', 'zonder', 'nog', 'te', 'spreken', 'van', 'den', 'indruk', 'dien', 'het', 'verrichten', 'der', 'wetenschappelijke', 'onderzoekingen', 'en', 'het', 'behandelen', 'van', 'instru', 'menten', 'op', 'haar', 'maken', 'moet', ',', 'zoo', 'zal', 'in', 'weinig', 'tijds', 'door', 'het', 'geheele', 'Djambi', 'rijk', 'waaronder', 'wij', 'Korintji', 'rekenen', 'en', 'in', 'de', 'Rantau', 'Batang', 'Hari', ',', 'die', 'met', 'het', 'Djambische', 'voortdurend', 'in', 'betrek', 'king', 'staat', ""'"", ',', 'de', 'alarmkreet', 'opgaan', ',', 'dat', 'het', 'Nederlandsch', 'Gouvernement', 'thans', 'werkelijk', 'aan', 'stalten', 'maakt', 'om', 'zich', 'in', 'hunne', 'zaken', 'te', 'mengen', '.'], ['O', 'O', 'O', 'B-PERSON', 'O', 'O', 'B-LOCATION', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOCATION', 'I-LOCATION', 'O', 'O', 'B-LOCATION', 'O', 'O', 'O', 'O', 'B-LOCATION', 'I-LOCATION', 'I-LOCATION', 'O', 'O', 'O', 'O', 'B-LOCATION', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORGANISATION', 'I-ORGANISATION', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O'])","['Maar', 'ziet', 'de', 'bevolking', 'in', 'het', 'Djambische', 'dat', 'er', 'eensklaps', 'van', 'twee', 'zijden', 'geageerd', 'wordt', 'om', 'haar', 'land', 'binnen', 'te', 'dringen', ',', 'zonder', 'nog', 'te', 'spreken', 'van', 'den', 'indruk', 'dien', 'het', 'verrichten', 'der', 'wetenschappelijke', 'onderzoekingen', 'en', 'het', 'behandelen', 'van', 'instru', 'menten', 'op', 'haar', 'maken', 'moet', ',', 'zoo', 'zal', 'in', 'weinig', 'tijds', 'door', 'het', 'geheele', 'Djambi', 'rijk', 'waaronder', 'wij', 'Korintji', 'rekenen', 'en', 'in', 'de', 'Rantau', 'Batang', 'Hari', ',', 'die', 'met', 'het', 'Djambische', 'voortdurend', 'in', 'betrek', 'king', 'staat', ""'"", ',', 'de', 'alarmkreet', 'opgaan', ',', 'dat', 'het', 'Nederlandsch', 'Gouvernement', 'thans', 'werkelijk', 'aan', 'stalten', 'maakt', 'om', 'zich', 'in', 'hunne', 'zaken', 'te', 'mengen', '.']","['O', 'O', 'O', 'B-PERSON', 'O', 'O', 'B-LOCATION', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOCATION', 'I-LOCATION', 'O', 'O', 'B-LOCATION', 'O', 'O', 'O', 'O', 'B-LOCATION', 'I-LOCATION', 'I-LOCATION', 'O', 'O', 'O', 'O', 'B-LOCATION', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORGANISATION', 'I-ORGANISATION', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
5,5,BHL_61_sample_Dutch_19.0.txt_11361-11440,"['BHL_61_sample_Dutch_19.0.txt', 'BHL_61_sample_Dutch_19.0.txt']","[11364, 11387]","[11377, 11396]","['Eltine_Janssens', 'Eltine_Janssens']","['w.c.Emotions_Entities(ASP_SENT_NULL=NULL, begin=11364, end=11377, entitycategory=PERSON, sentimentcategory=2)', 'w.c.Emotions_Entities(ASP_SENT_NULL=NULL, begin=11387, end=11396, entitycategory=PERSON, sentimentcategory=3)']","['kwaadgezinden', 'bevolking']",De kwaadgezinden onder de bevolking zullen meer en meer den boventoon krijgen .,"['NULL_CAT', 'NULL_CAT']","['PERSON', 'PERSON']","(['De', 'kwaadgezinden', 'onder', 'de', 'bevolking', 'zullen', 'meer', 'en', 'meer', 'den', 'boventoon', 'krijgen', '.'], ['O', 'B-PERSON', 'O', 'O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O'])","['De', 'kwaadgezinden', 'onder', 'de', 'bevolking', 'zullen', 'meer', 'en', 'meer', 'den', 'boventoon', 'krijgen', '.']","['O', 'B-PERSON', 'O', 'O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
6,6,BHL_61_sample_Dutch_19.0.txt_11441-11619,"['BHL_61_sample_Dutch_19.0.txt', 'BHL_61_sample_Dutch_19.0.txt']","[11450, 11551]","[11455, 11561]","['Eltine_Janssens', 'Eltine_Janssens']","['w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=11450, end=11455, entitycategory=PERSON)', 'w.c.Emotions_Entities(ASP_SENT_NULL=NULL, begin=11551, end=11561, entitycategory=PERSON, sentimentcategory=3)']","['Radja', 'anak boeah']","Zelfs de Radja 's , die mij thans ( alleen zijnde ) beschermden , zullen óf niet meer tegen den wensch hunner anak boeah kunnen opkomen , óf zelven achter- docht gaan koesteren .","['ASPECT', 'NULL_CAT']","['PERSON', 'PERSON']","(['Zelfs', 'de', 'Radja', ""'s"", ',', 'die', 'mij', 'thans', 'alleen', 'zijnde', 'beschermden', ',', 'zullen', 'óf', 'niet', 'meer', 'tegen', 'den', 'wensch', 'hunner', 'anak', 'boeah', 'kunnen', 'opkomen', ',', 'óf', 'zelven', 'achter', 'docht', 'gaan', 'koesteren', '.'], ['O', 'O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'I-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O'])","['Zelfs', 'de', 'Radja', ""'s"", ',', 'die', 'mij', 'thans', 'alleen', 'zijnde', 'beschermden', ',', 'zullen', 'óf', 'niet', 'meer', 'tegen', 'den', 'wensch', 'hunner', 'anak', 'boeah', 'kunnen', 'opkomen', ',', 'óf', 'zelven', 'achter', 'docht', 'gaan', 'koesteren', '.']","['O', 'O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'I-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
7,7,BHL_61_sample_Dutch_19.0.txt_11620-11847,['BHL_61_sample_Dutch_19.0.txt'],[11687],[11698],['Eltine_Janssens'],"['w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=11687, end=11698, entitycategory=PERSON)']",['Euro- peaan'],"En zonder nog offensief te handelen , behoeven zij slechts aan den Euro- peaan die zich in hun gebied ophoudt , hunne onmiddellijke bescherming te ontzeggen , om toestand reeds dadelijk hoogstgevaarlijk en onhoudbaar te maken .",['ASPECT'],['PERSON'],"(['En', 'zonder', 'nog', 'offensief', 'te', 'handelen', ',', 'behoeven', 'zij', 'slechts', 'aan', 'den', 'Euro', 'peaan', 'die', 'zich', 'in', 'hun', 'gebied', 'ophoudt', ',', 'hunne', 'onmiddellijke', 'bescherming', 'te', 'ontzeggen', ',', 'om', 'toestand', 'reeds', 'dadelijk', 'hoogstgevaarlijk', 'en', 'onhoudbaar', 'te', 'maken', '.'], ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'I-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O'])","['En', 'zonder', 'nog', 'offensief', 'te', 'handelen', ',', 'behoeven', 'zij', 'slechts', 'aan', 'den', 'Euro', 'peaan', 'die', 'zich', 'in', 'hun', 'gebied', 'ophoudt', ',', 'hunne', 'onmiddellijke', 'bescherming', 'te', 'ontzeggen', ',', 'om', 'toestand', 'reeds', 'dadelijk', 'hoogstgevaarlijk', 'en', 'onhoudbaar', 'te', 'maken', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'I-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
8,8,BHL_61_sample_Dutch_19.0.txt_11969-12203,"['BHL_61_sample_Dutch_19.0.txt', 'BHL_61_sample_Dutch_19.0.txt']","[12148, 12188]","[12158, 12201]","['Eltine_Janssens', 'Eltine_Janssens']","['w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=12148, end=12158, entitycategory=PERSON)', 'w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=12188, end=12201, entitycategory=NAT_LANDFORM)']","['Europeanen', 'Djambi-rivier']","Men vange gedurende den eersten tijd slechts een der beide onderzoekingen op onafhan- kelijk gebied aan : 't zij het onderzoek der hooglanden ( en dit slechts door hoogstens twee Europeanen ) , 't zij het onderzoek der Djambi-rivier .","['ASPECT', 'ASPECT']","['PERSON', 'NAT_LANDFORM']","(['Men', 'vange', 'gedurende', 'den', 'eersten', 'tijd', 'slechts', 'een', 'der', 'beide', 'onderzoekingen', 'op', 'onafhan', 'kelijk', 'gebied', 'aan', ""'t"", 'zij', 'het', 'onderzoek', 'der', 'hooglanden', 'en', 'dit', 'slechts', 'door', 'hoogstens', 'twee', 'Europeanen', ',', ""'t"", 'zij', 'het', 'onderzoek', 'der', 'Djambi', 'rivier', '.'], ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'B-NAT_LANDFORM', 'I-NAT_LANDFORM', 'O'])","['Men', 'vange', 'gedurende', 'den', 'eersten', 'tijd', 'slechts', 'een', 'der', 'beide', 'onderzoekingen', 'op', 'onafhan', 'kelijk', 'gebied', 'aan', ""'t"", 'zij', 'het', 'onderzoek', 'der', 'hooglanden', 'en', 'dit', 'slechts', 'door', 'hoogstens', 'twee', 'Europeanen', ',', ""'t"", 'zij', 'het', 'onderzoek', 'der', 'Djambi', 'rivier', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'B-NAT_LANDFORM', 'I-NAT_LANDFORM', 'O']"
9,9,BHL_61_sample_Dutch_19.0.txt_12251-12529,['BHL_61_sample_Dutch_19.0.txt'],[12347],[12355],['Eltine_Janssens'],"['w.c.Emotions_Entities(ASP_SENT_NULL=NULL, begin=12347, end=12355, entitycategory=PERSON, sentimentcategory=3)']",['inlander'],"Zelfs nadat het onderzoek van beide zijden in werking is getreden , mag er voor het oog van den inlander volstrekt geen verband bestaan tusschen de twee gedeelten , totdat men van weerszijden de zekerheid heeft verkregen dat deze voorzichtigheidsinaatregel niet meer noodig is .",['NULL_CAT'],['PERSON'],"(['Zelfs', 'nadat', 'het', 'onderzoek', 'van', 'beide', 'zijden', 'in', 'werking', 'is', 'getreden', ',', 'mag', 'er', 'voor', 'het', 'oog', 'van', 'den', 'inlander', 'volstrekt', 'geen', 'verband', 'bestaan', 'tusschen', 'de', 'twee', 'gedeelten', ',', 'totdat', 'men', 'van', 'weerszijden', 'de', 'zekerheid', 'heeft', 'verkregen', 'dat', 'deze', 'voorzichtigheidsinaatregel', 'niet', 'meer', 'noodig', 'is', '.'], ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O'])","['Zelfs', 'nadat', 'het', 'onderzoek', 'van', 'beide', 'zijden', 'in', 'werking', 'is', 'getreden', ',', 'mag', 'er', 'voor', 'het', 'oog', 'van', 'den', 'inlander', 'volstrekt', 'geen', 'verband', 'bestaan', 'tusschen', 'de', 'twee', 'gedeelten', ',', 'totdat', 'men', 'van', 'weerszijden', 'de', 'zekerheid', 'heeft', 'verkregen', 'dat', 'deze', 'voorzichtigheidsinaatregel', 'niet', 'meer', 'noodig', 'is', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
