,source_file,sentence,begin,end,annotator,_annotation,text,_sentence_text,annotation,sentiment_cat,aspect_cat
495,DBNL-67_sample_IAA_20.txt,DBNL-67_sample_IAA_20.txt_426-543,471,478,Eltine_Janssens,"w.c.Link(Dependent=w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=471, end=478, entitycategory=HUM_LANDFORM), Governor=w.c.Emotions_Entities(ASP_SENT_NULL=SENTIMENT, begin=455, end=470, sentimentcategory=4), begin=471, end=478, linktype=sentiment_of)",straten,Riëti heeft die wel zeker en schilderachtige straten en straatjes houden het ( lustig ) verkeer tussen beide gaande .,ASPECT,4,HUM_LANDFORM
496,DBNL-67_sample_IAA_20.txt,DBNL-67_sample_IAA_20.txt_544-872,718,726,Eltine_Janssens,"w.c.Link(Dependent=w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=718, end=726, entitycategory=NAT_LANDFORM), Governor=w.c.Emotions_Entities(ASP_SENT_NULL=SENTIMENT, begin=788, end=805, sentimentcategory=4), begin=718, end=726, linktype=sentiment_of)",bergmeer,"Ook dient de lezer , voordat wij er onze verkenningstochten gaan voortzetten , zich een idee te vormen van wat hier een dal is : een in een onbenaambare voortijd uitgedroogd bergmeer dat nu - een kleine zevenhonderd meter boven de zeespiegel - allervruchtbaarst en als een weelderige groene schommelwieg tussen de bergen hangt .",ASPECT,4,NAT_LANDFORM
497,DBNL-67_sample_IAA_20.txt,DBNL-67_sample_IAA_20.txt_1508-1736,1666,1674,Eltine_Janssens,"w.c.Link(Dependent=w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=1666, end=1674, entitycategory=PERSON), Governor=w.c.Emotions_Entities(ASP_SENT_NULL=SENTIMENT, begin=1634, end=1642, sentimentcategory=4), begin=1666, end=1674, linktype=sentiment_of)",Riëtanen,"Dat dit laatste nu niet precies het eldorado was dat wij er zoeken kwamen , doet evenwel niets af aan onze waardering voor de fierheid en de ijver waarmee de Riëtanen hun schatten voor de vreemdeling weten ten toon te spreiden .",ASPECT,4,PERSON
498,DBNL-67_sample_IAA_20.txt,DBNL-67_sample_IAA_20.txt_1508-1736,1666,1674,Eltine_Janssens,"w.c.Link(Dependent=w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=1666, end=1674, entitycategory=PERSON), Governor=w.c.Emotions_Entities(ASP_SENT_NULL=SENTIMENT, begin=1649, end=1654, sentimentcategory=4), begin=1666, end=1674, linktype=sentiment_of)",Riëtanen,"Dat dit laatste nu niet precies het eldorado was dat wij er zoeken kwamen , doet evenwel niets af aan onze waardering voor de fierheid en de ijver waarmee de Riëtanen hun schatten voor de vreemdeling weten ten toon te spreiden .",ASPECT,4,PERSON
499,DBNL-67_sample_IAA_20.txt,DBNL-67_sample_IAA_20.txt_2069-2476,2249,2260,Eltine_Janssens,"w.c.Link(Dependent=w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=2249, end=2260, entitycategory=LOCATION), Governor=w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=2355, end=2369, entitycategory=LOCATION), begin=2249, end=2260, linktype=refers_to)",Valle Santa,"Met de voorkeur , die de grote Umbriër voor hun dal gekoesterd heeft , steken zij zich gaarne een pluim op de hoed en met rechtmatige trots wijzen zij u naar de vier hoeken van de Valle Santa waar , tussen rotsen en bossen , de vier franciscaanse santuario 's waaraan zij haarnaamvan ‘ Heilige Vallei ’ ontleent , verscholen liggen : San Francesco di Greccio ; Fonte Colombo ; La Foresta en Poggio Bustone .",ASPECT,,LOCATION
500,DBNL-67_sample_IAA_20.txt,DBNL-67_sample_IAA_20.txt_210-261,240,245,sarah_a,"w.c.Link(Dependent=w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=240, end=245, entitycategory=LOCATION), Governor=w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=355, end=359), begin=240, end=245, linktype=refers_to)",Riëti,Door de Porta Romana zijn wij Riëti binnengereden .,ASPECT,,LOCATION
501,DBNL-67_sample_IAA_20.txt,DBNL-67_sample_IAA_20.txt_426-543,471,478,sarah_a,"w.c.Link(Dependent=w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=471, end=478, entitycategory=HUM_LANDFORM), Governor=w.c.Emotions_Entities(ASP_SENT_NULL=SENTIMENT, begin=455, end=470, sentimentcategory=4), begin=471, end=478, linktype=sentiment_of)",straten,Riëti heeft die wel zeker en schilderachtige straten en straatjes houden het ( lustig ) verkeer tussen beide gaande .,ASPECT,4,HUM_LANDFORM
502,DBNL-67_sample_IAA_20.txt,DBNL-67_sample_IAA_20.txt_426-543,482,491,sarah_a,"w.c.Link(Dependent=w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=482, end=491, entitycategory=HUM_LANDFORM), Governor=w.c.Emotions_Entities(ASP_SENT_NULL=SENTIMENT, begin=455, end=470, sentimentcategory=4), begin=482, end=491, linktype=sentiment_of)",straatjes,Riëti heeft die wel zeker en schilderachtige straten en straatjes houden het ( lustig ) verkeer tussen beide gaande .,ASPECT,4,HUM_LANDFORM
503,DBNL-67_sample_IAA_20.txt,DBNL-67_sample_IAA_20.txt_262-425,355,359,Florian_Debaene,"w.c.Link(Dependent=w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=355, end=359, entitycategory=HUM_LANDFORM), Governor=w.c.Emotions_Entities(ASP_SENT_NULL=SENTIMENT, begin=325, end=354, sentimentcategory=5), begin=355, end=359, linktype=sentiment_of)",stad,"En wie nu menen zou , dat deze in de vlakte gelegen doodoude , stevig door muren ompantserde stad , geen beneden- en bovenstad zou hebben , vergist zich deerlijk .",ASPECT,5,HUM_LANDFORM
504,DBNL-67_sample_IAA_20.txt,DBNL-67_sample_IAA_20.txt_262-425,355,359,Florian_Debaene,"w.c.Link(Dependent=w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=355, end=359, entitycategory=HUM_LANDFORM), Governor=w.c.Emotions_Entities(ASP_SENT_NULL=SENTIMENT, begin=314, end=322, sentimentcategory=4), begin=355, end=359, linktype=sentiment_of)",stad,"En wie nu menen zou , dat deze in de vlakte gelegen doodoude , stevig door muren ompantserde stad , geen beneden- en bovenstad zou hebben , vergist zich deerlijk .",ASPECT,4,HUM_LANDFORM
505,DBNL-67_sample_IAA_20.txt,DBNL-67_sample_IAA_20.txt_426-543,471,478,Florian_Debaene,"w.c.Link(Dependent=w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=471, end=478, entitycategory=HUM_LANDFORM), Governor=w.c.Emotions_Entities(ASP_SENT_NULL=SENTIMENT, begin=455, end=470, sentimentcategory=4), begin=471, end=478, linktype=sentiment_of)",straten,Riëti heeft die wel zeker en schilderachtige straten en straatjes houden het ( lustig ) verkeer tussen beide gaande .,ASPECT,4,HUM_LANDFORM
506,DBNL-67_sample_IAA_20.txt,DBNL-67_sample_IAA_20.txt_544-872,718,726,Florian_Debaene,"w.c.Link(Dependent=w.c.Emotions_Entities(ASP_SENT_NULL=NULL, begin=718, end=726, entitycategory=NAT_LANDFORM), Governor=w.c.Emotions_Entities(ASP_SENT_NULL=SENTIMENT, begin=706, end=717, sentimentcategory=3), begin=718, end=726, linktype=sentiment_of)",bergmeer,"Ook dient de lezer , voordat wij er onze verkenningstochten gaan voortzetten , zich een idee te vormen van wat hier een dal is : een in een onbenaambare voortijd uitgedroogd bergmeer dat nu - een kleine zevenhonderd meter boven de zeespiegel - allervruchtbaarst en als een weelderige groene schommelwieg tussen de bergen hangt .",NULL,3,NAT_LANDFORM
507,DBNL-67_sample_IAA_20.txt,DBNL-67_sample_IAA_20.txt_873-1007,888,895,Florian_Debaene,"w.c.Link(Dependent=w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=888, end=895, entitycategory=WEATHER), Governor=w.c.Emotions_Entities(ASP_SENT_NULL=SENTIMENT, begin=878, end=887, sentimentcategory=4), begin=888, end=895, linktype=sentiment_of)",klimaat,"Zijn aangenaam klimaat maakt het dan ook in de hoogzomer tot een geliefd toevluchtsoord van Rome , waar de zon dan als op eieren zit .",ASPECT,4,WEATHER
508,DBNL-67_sample_IAA_20.txt,DBNL-67_sample_IAA_20.txt_1008-1253,1068,1099,Florian_Debaene,"w.c.Link(Dependent=w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=1068, end=1099, entitycategory=PERSON), Governor=w.c.Emotions_Entities(ASP_SENT_NULL=NULL, begin=1154, end=1158, entitycategory=PERSON), begin=1068, end=1099, linktype=refers_to)",Ente Provinciale per il Turismo,"Voor wie Riëti aandoet , staat bij de eerste beste halte de Ente Provinciale per il Turismo in de persoon van een keurig uitziend en welbespraakt heer klaar om u wegwijs te maken en u de voortreffelijkheden aan te prijzen van provincie en stad .",ASPECT,,PERSON
509,DBNL-67_sample_IAA_20.txt,DBNL-67_sample_IAA_20.txt_1008-1253,1154,1158,Florian_Debaene,"w.c.Link(Dependent=w.c.Emotions_Entities(ASP_SENT_NULL=NULL, begin=1154, end=1158, entitycategory=PERSON), Governor=w.c.Emotions_Entities(ASP_SENT_NULL=SENTIMENT, begin=1122, end=1153, sentimentcategory=5), begin=1154, end=1158, linktype=sentiment_of)",heer,"Voor wie Riëti aandoet , staat bij de eerste beste halte de Ente Provinciale per il Turismo in de persoon van een keurig uitziend en welbespraakt heer klaar om u wegwijs te maken en u de voortreffelijkheden aan te prijzen van provincie en stad .",NULL,5,PERSON
510,DBNL-67_sample_IAA_20.txt,DBNL-67_sample_IAA_20.txt_1254-1507,1412,1416,Florian_Debaene,"w.c.Link(Dependent=w.c.Emotions_Entities(ASP_SENT_NULL=NULL, begin=1412, end=1416, entitycategory=LOCATION), Governor=w.c.Emotions_Entities(ASP_SENT_NULL=SENTIMENT, begin=1421, end=1442, sentimentcategory=5), begin=1412, end=1416, linktype=sentiment_of)",land,"En wie de dikke map opent die hem gratis ter hand wordt gesteld en even de kleurige uitstekend verzorgde folders inziet , krijgt de indruk niet alleen in een land van cultuur en beschaving doch tevens in een lustoord voor lekkerbekken verzeild te zijn .",NULL,5,LOCATION
511,DBNL-67_sample_IAA_20.txt,DBNL-67_sample_IAA_20.txt_1508-1736,1666,1674,Florian_Debaene,"w.c.Link(Dependent=w.c.Emotions_Entities(ASP_SENT_NULL=NULL, begin=1666, end=1674, entitycategory=PERSON), Governor=w.c.Emotions_Entities(ASP_SENT_NULL=SENTIMENT, begin=1634, end=1642, sentimentcategory=4), begin=1666, end=1674, linktype=sentiment_of)",Riëtanen,"Dat dit laatste nu niet precies het eldorado was dat wij er zoeken kwamen , doet evenwel niets af aan onze waardering voor de fierheid en de ijver waarmee de Riëtanen hun schatten voor de vreemdeling weten ten toon te spreiden .",NULL,4,PERSON
512,DBNL-67_sample_IAA_20.txt,DBNL-67_sample_IAA_20.txt_1508-1736,1666,1674,Florian_Debaene,"w.c.Link(Dependent=w.c.Emotions_Entities(ASP_SENT_NULL=NULL, begin=1666, end=1674, entitycategory=PERSON), Governor=w.c.Emotions_Entities(ASP_SENT_NULL=SENTIMENT, begin=1649, end=1654, sentimentcategory=4), begin=1666, end=1674, linktype=sentiment_of)",Riëtanen,"Dat dit laatste nu niet precies het eldorado was dat wij er zoeken kwamen , doet evenwel niets af aan onze waardering voor de fierheid en de ijver waarmee de Riëtanen hun schatten voor de vreemdeling weten ten toon te spreiden .",NULL,4,PERSON
513,DBNL-67_sample_IAA_20.txt,DBNL-67_sample_IAA_20.txt_1872-2068,1888,1901,Florian_Debaene,"w.c.Link(Dependent=w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=1888, end=1901, entitycategory=PERSON), Governor=w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=2100, end=2107, entitycategory=PERSON), begin=1888, end=1901, linktype=refers_to)",San Francesco,"Wie de naam van San Francesco voor hen uitspreekt , mag zich er van verzekerd houden door hen met een welwillend , bijna broederlijk , oog bekeken en met bizondere distinctie behandeld te worden .",ASPECT,,PERSON
514,DBNL-67_sample_IAA_20.txt,DBNL-67_sample_IAA_20.txt_2069-2476,2100,2107,Florian_Debaene,"w.c.Link(Dependent=w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=2100, end=2107, entitycategory=PERSON), Governor=w.c.Emotions_Entities(ASP_SENT_NULL=SENTIMENT, begin=2094, end=2099, sentimentcategory=4), begin=2100, end=2107, linktype=sentiment_of)",Umbriër,"Met de voorkeur , die de grote Umbriër voor hun dal gekoesterd heeft , steken zij zich gaarne een pluim op de hoed en met rechtmatige trots wijzen zij u naar de vier hoeken van de Valle Santa waar , tussen rotsen en bossen , de vier franciscaanse santuario 's waaraan zij haarnaamvan ‘ Heilige Vallei ’ ontleent , verscholen liggen : San Francesco di Greccio ; Fonte Colombo ; La Foresta en Poggio Bustone .",ASPECT,4,PERSON
515,DBNL-67_sample_IAA_20.txt,DBNL-67_sample_IAA_20.txt_2069-2476,2249,2254,Florian_Debaene,"w.c.Link(Dependent=w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=2249, end=2254, entitycategory=NAT_LANDFORM), Governor=w.c.Emotions_Entities(ASP_SENT_NULL=SENTIMENT, begin=2255, end=2260, sentimentcategory=4), begin=2249, end=2254, linktype=sentiment_of)",Valle,"Met de voorkeur , die de grote Umbriër voor hun dal gekoesterd heeft , steken zij zich gaarne een pluim op de hoed en met rechtmatige trots wijzen zij u naar de vier hoeken van de Valle Santa waar , tussen rotsen en bossen , de vier franciscaanse santuario 's waaraan zij haarnaamvan ‘ Heilige Vallei ’ ontleent , verscholen liggen : San Francesco di Greccio ; Fonte Colombo ; La Foresta en Poggio Bustone .",ASPECT,4,NAT_LANDFORM
516,DBNL-67_sample_IAA_20.txt,DBNL-67_sample_IAA_20.txt_2069-2476,2363,2369,Florian_Debaene,"w.c.Link(Dependent=w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=2363, end=2369, entitycategory=NAT_LANDFORM), Governor=w.c.Emotions_Entities(ASP_SENT_NULL=SENTIMENT, begin=2355, end=2362, sentimentcategory=4), begin=2363, end=2369, linktype=sentiment_of)",Vallei,"Met de voorkeur , die de grote Umbriër voor hun dal gekoesterd heeft , steken zij zich gaarne een pluim op de hoed en met rechtmatige trots wijzen zij u naar de vier hoeken van de Valle Santa waar , tussen rotsen en bossen , de vier franciscaanse santuario 's waaraan zij haarnaamvan ‘ Heilige Vallei ’ ontleent , verscholen liggen : San Francesco di Greccio ; Fonte Colombo ; La Foresta en Poggio Bustone .",ASPECT,4,NAT_LANDFORM
517,DBNL-67_sample_IAA_20.txt,DBNL-67_sample_IAA_20.txt_2477-2676,2487,2494,Florian_Debaene,"w.c.Link(Dependent=w.c.Emotions_Entities(ASP_SENT_NULL=NULL, begin=2487, end=2494, entitycategory=PERSON), Governor=w.c.Emotions_Entities(ASP_SENT_NULL=SENTIMENT, begin=2645, end=2674, sentimentcategory=5), begin=2487, end=2494, linktype=refers_to)",portier,"Zó ook de portier van het Ristorante waar wij afstapten ; en zo niet minder de eigenaar van dat eethuis die ons , met nauwelijks de voeten onder tafel , begroeten kwam alsof wij oude bekenden waren .",NULL,5,PERSON
518,DBNL-67_sample_IAA_20.txt,DBNL-67_sample_IAA_20.txt_2477-2676,2556,2564,Florian_Debaene,"w.c.Link(Dependent=w.c.Emotions_Entities(ASP_SENT_NULL=NULL, begin=2556, end=2564, entitycategory=PERSON), Governor=w.c.Emotions_Entities(ASP_SENT_NULL=SENTIMENT, begin=2645, end=2674, sentimentcategory=5), begin=2556, end=2564, linktype=refers_to)",eigenaar,"Zó ook de portier van het Ristorante waar wij afstapten ; en zo niet minder de eigenaar van dat eethuis die ons , met nauwelijks de voeten onder tafel , begroeten kwam alsof wij oude bekenden waren .",NULL,5,PERSON
519,DBNL-67_sample_IAA_20.txt,DBNL-67_sample_IAA_20.txt_2477-2676,2585,2588,Florian_Debaene,"w.c.Link(Dependent=w.c.Emotions_Entities(ASP_SENT_NULL=NULL, begin=2585, end=2588, entitycategory=PERSON), Governor=w.c.Emotions_Entities(ASP_SENT_NULL=SENTIMENT, begin=2645, end=2674, sentimentcategory=5), begin=2585, end=2588, linktype=sentiment_of)",ons,"Zó ook de portier van het Ristorante waar wij afstapten ; en zo niet minder de eigenaar van dat eethuis die ons , met nauwelijks de voeten onder tafel , begroeten kwam alsof wij oude bekenden waren .",NULL,5,PERSON
671,DBNL-151_sample_IAA_19.txt,DBNL-151_sample_IAA_19.txt_0-275,60,85,tess,"w.c.Link(Dependent=w.c.Emotions_Entities(ASP_SENT_NULL=NULL, begin=60, end=85, entitycategory=PERSON), Governor=w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=276, end=279), begin=60, end=85, linktype=refers_to)",De bewoners dezer streken,"Author: GijsbertusvanSandwijk
Title: Nederlandsch Indië, of De bewoners dezer streken, geschetst in tafereelen uit hun dagelijksch leven, zeden en gebruiken 
Mijn jongen , die voor mij op de dispenskast het water voor de koffie zit te koken , is er ook geheel van opgetogen .",NULL,,PERSON
672,DBNL-151_sample_IAA_19.txt,DBNL-151_sample_IAA_19.txt_0-275,158,169,tess,"w.c.Link(Dependent=w.c.Emotions_Entities(ASP_SENT_NULL=NULL, begin=158, end=169, entitycategory=PERSON), Governor=w.c.Emotions_Entities(ASP_SENT_NULL=SENTIMENT, begin=253, end=273, sentimentcategory=4), begin=158, end=169, linktype=sentiment_of)",Mijn jongen,"Author: GijsbertusvanSandwijk
Title: Nederlandsch Indië, of De bewoners dezer streken, geschetst in tafereelen uit hun dagelijksch leven, zeden en gebruiken 
Mijn jongen , die voor mij op de dispenskast het water voor de koffie zit te koken , is er ook geheel van opgetogen .",NULL,4,PERSON
673,DBNL-151_sample_IAA_19.txt,DBNL-151_sample_IAA_19.txt_1626-1841,1682,1689,tess,"w.c.Link(Dependent=w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=1682, end=1689, entitycategory=FAUNA), Governor=w.c.Emotions_Entities(ASP_SENT_NULL=SENTIMENT, begin=1794, end=1809, sentimentcategory=1), begin=1682, end=1689, linktype=sentiment_of)",kaaiman,"Op onze vaart daarheen hadden wij nog het voorrecht een kaaiman , onder het gejoel en applaudissement der roeiers , ongetwijfeld uit zoete morgenmijmeringen opgewekt , dood verschrikt in het water te zien springen .",ASPECT,1,FAUNA
674,DBNL-151_sample_IAA_19.txt,DBNL-151_sample_IAA_19.txt_2457-2705,2497,2515,tess,"w.c.Link(Dependent=w.c.Emotions_Entities(ASP_SENT_NULL=NULL, begin=2497, end=2515, entitycategory=FAUNA, sentimentcategory=2), Governor=w.c.Emotions_Entities(ASP_SENT_NULL=SENTIMENT, begin=2611, end=2631, sentimentcategory=4), begin=2497, end=2515, linktype=sentiment_of)",het zwarte monster,"En onder de algemeene toejuiching heeft het zwarte monster zich in hetzelfde oogenblik met een sprong in de wateren begraven , is het daaronder voorzeker met pijlsnelle vaart , door schrik en angst voortgejaagd , reeds verre , verre heengeschoten .",NULL,4,FAUNA
