,source_file,sentence,begin,end,annotator,_annotation,text,_sentence_text,annotation,aspect_cat
2360,DBNL-67_sample_IAA_20.txt,DBNL-67_sample_IAA_20.txt_0-187,8,24,Eltine_Janssens,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=8, end=24, entitycategory=PERSON)",Jacques Schreurs,"Author: Jacques Schreurs
Title: Pelgrimstocht door Franciscaans Italië 
Zonder evenwel de worsten van Salisano , de kaas van Rocca-Sinibaldi en de ham van Cittaducale geproefd te hebben .",ASPECT,PERSON
2361,DBNL-67_sample_IAA_20.txt,DBNL-67_sample_IAA_20.txt_0-187,51,70,Eltine_Janssens,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=51, end=70, entitycategory=LOCATION)",Franciscaans Italië,"Author: Jacques Schreurs
Title: Pelgrimstocht door Franciscaans Italië 
Zonder evenwel de worsten van Salisano , de kaas van Rocca-Sinibaldi en de ham van Cittaducale geproefd te hebben .",ASPECT,LOCATION
2362,DBNL-67_sample_IAA_20.txt,DBNL-67_sample_IAA_20.txt_0-187,102,110,Eltine_Janssens,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=102, end=110, entitycategory=LOCATION)",Salisano,"Author: Jacques Schreurs
Title: Pelgrimstocht door Franciscaans Italië 
Zonder evenwel de worsten van Salisano , de kaas van Rocca-Sinibaldi en de ham van Cittaducale geproefd te hebben .",ASPECT,LOCATION
2363,DBNL-67_sample_IAA_20.txt,DBNL-67_sample_IAA_20.txt_0-187,125,140,Eltine_Janssens,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=125, end=140, entitycategory=LOCATION)",Rocca-Sinibaldi,"Author: Jacques Schreurs
Title: Pelgrimstocht door Franciscaans Italië 
Zonder evenwel de worsten van Salisano , de kaas van Rocca-Sinibaldi en de ham van Cittaducale geproefd te hebben .",ASPECT,LOCATION
2364,DBNL-67_sample_IAA_20.txt,DBNL-67_sample_IAA_20.txt_0-187,155,166,Eltine_Janssens,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=155, end=166, entitycategory=LOCATION)",Cittaducale,"Author: Jacques Schreurs
Title: Pelgrimstocht door Franciscaans Italië 
Zonder evenwel de worsten van Salisano , de kaas van Rocca-Sinibaldi en de ham van Cittaducale geproefd te hebben .",ASPECT,LOCATION
2365,DBNL-67_sample_IAA_20.txt,DBNL-67_sample_IAA_20.txt_210-261,218,230,Eltine_Janssens,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=218, end=230, entitycategory=LOCATION)",Porta Romana,Door de Porta Romana zijn wij Riëti binnengereden .,ASPECT,LOCATION
2366,DBNL-67_sample_IAA_20.txt,DBNL-67_sample_IAA_20.txt_210-261,240,245,Eltine_Janssens,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=240, end=245, entitycategory=LOCATION)",Riëti,Door de Porta Romana zijn wij Riëti binnengereden .,ASPECT,LOCATION
2367,DBNL-67_sample_IAA_20.txt,DBNL-67_sample_IAA_20.txt_426-543,426,431,Eltine_Janssens,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=426, end=431, entitycategory=LOCATION)",Riëti,Riëti heeft die wel zeker en schilderachtige straten en straatjes houden het ( lustig ) verkeer tussen beide gaande .,ASPECT,LOCATION
2369,DBNL-67_sample_IAA_20.txt,DBNL-67_sample_IAA_20.txt_426-543,471,478,Eltine_Janssens,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=471, end=478, entitycategory=HUM_LANDFORM)",straten,Riëti heeft die wel zeker en schilderachtige straten en straatjes houden het ( lustig ) verkeer tussen beide gaande .,ASPECT,HUM_LANDFORM
2370,DBNL-67_sample_IAA_20.txt,DBNL-67_sample_IAA_20.txt_426-543,482,491,Eltine_Janssens,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=482, end=491, entitycategory=HUM_LANDFORM)",straatjes,Riëti heeft die wel zeker en schilderachtige straten en straatjes houden het ( lustig ) verkeer tussen beide gaande .,ASPECT,HUM_LANDFORM
2371,DBNL-67_sample_IAA_20.txt,DBNL-67_sample_IAA_20.txt_544-872,664,667,Eltine_Janssens,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=664, end=667, entitycategory=NAT_LANDFORM)",dal,"Ook dient de lezer , voordat wij er onze verkenningstochten gaan voortzetten , zich een idee te vormen van wat hier een dal is : een in een onbenaambare voortijd uitgedroogd bergmeer dat nu - een kleine zevenhonderd meter boven de zeespiegel - allervruchtbaarst en als een weelderige groene schommelwieg tussen de bergen hangt .",ASPECT,NAT_LANDFORM
