Century;sentence;source_file;begin;end;annotator;_annotation;text;_sentence_text;annotation;aspect_cat;results;sentence_split;iob
20;BHL_118_sample_English_20.0.txt_0-68;['BHL_118_sample_English_20.0.txt', 'BHL_118_sample_English_20.0.txt', 'BHL_118_sample_English_20.0.txt'];[8, 27, 55];[18, 37, 62];['Florian_Debaene', 'Florian_Debaene', 'Florian_Debaene'];['w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=8, end=18, entitycategory=PERSON)', 'w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=27, end=37, entitycategory=PERSON)', 'w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=55, end=62, entitycategory=HUM_LANDFORM)'];['Weber, Max', 'Weber, Max', 'Station'];"Author: Weber, Max,
Title: Weber, Max,
Language: Dutch
Station 211 .";['ASPECT', 'ASPECT', 'ASPECT'];['PERSON', 'PERSON', 'HUM_LANDFORM'];(['Author', 'Weber', ',', 'Max', ',', 'Title', 'Weber', ',', 'Max', ',', 'Language', 'Dutch', 'Station', '211', '.'], ['O', 'B-PERSON', 'I-PERSON', 'I-PERSON', 'O', 'O', 'B-PERSON', 'I-PERSON', 'I-PERSON', 'O', 'O', 'O', 'B-HUM_LANDFORM', 'O', 'O']);['Author', 'Weber', ',', 'Max', ',', 'Title', 'Weber', ',', 'Max', ',', 'Language', 'Dutch', 'Station', '211', '.'];['O', 'B-PERSON', 'I-PERSON', 'I-PERSON', 'O', 'O', 'B-PERSON', 'I-PERSON', 'I-PERSON', 'O', 'O', 'O', 'B-HUM_LANDFORM', 'O', 'O']
20;BHL_118_sample_English_20.0.txt_10188-10237;['BHL_118_sample_English_20.0.txt'];[10217];[10235];['Florian_Debaene'];['w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=10217, end=10235, entitycategory=FAUNA)'];['B. arenosa Goodsir'];It is very closely allied to B. arenosa Goodsir .;['ASPECT'];['FAUNA'];(['It', 'is', 'very', 'closely', 'allied', 'to', 'B', '.', 'arenosa', 'Goodsir', '.'], ['O', 'O', 'O', 'O', 'O', 'O', 'B-FAUNA', 'I-FAUNA', 'I-FAUNA', 'I-FAUNA', 'O']);['It', 'is', 'very', 'closely', 'allied', 'to', 'B', '.', 'arenosa', 'Goodsir', '.'];['O', 'O', 'O', 'O', 'O', 'O', 'B-FAUNA', 'I-FAUNA', 'I-FAUNA', 'I-FAUNA', 'O']
20;BHL_118_sample_English_20.0.txt_10264-10274;['BHL_118_sample_English_20.0.txt'];[10264];[10272];['Florian_Debaene'];['w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=10264, end=10272, entitycategory=FAUNA)'];['Plankton'];Plankton .;['ASPECT'];['FAUNA'];(['Plankton', '.'], ['B-FAUNA', 'O']);['Plankton', '.'];['B-FAUNA', 'O']
20;BHL_118_sample_English_20.0.txt_10303-10313;['BHL_118_sample_English_20.0.txt'];[10303];[10311];['Florian_Debaene'];['w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=10303, end=10311, entitycategory=FAUNA)'];['Plankton'];Plankton .;['ASPECT'];['FAUNA'];(['Plankton', '.'], ['B-FAUNA', 'O']);['Plankton', '.'];['B-FAUNA', 'O']
20;BHL_118_sample_English_20.0.txt_10329-10343;['BHL_118_sample_English_20.0.txt'];[10329];[10341];['Florian_Debaene'];['w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=10329, end=10341, entitycategory=FAUNA)'];['Cyclaspoides'];Cyclaspoides .;['ASPECT'];['FAUNA'];(['Cyclaspoides', '.'], ['B-FAUNA', 'O']);['Cyclaspoides', '.'];['B-FAUNA', 'O']
20;BHL_118_sample_English_20.0.txt_10347-10364;['BHL_118_sample_English_20.0.txt'];[10347];[10359];['Florian_Debaene'];['w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=10347, end=10359, entitycategory=FAUNA)'];['Cyclaspoides'];Cyclaspoides sp .;['ASPECT'];['FAUNA'];(['Cyclaspoides', 'sp', '.'], ['B-FAUNA', 'O', 'O']);['Cyclaspoides', 'sp', '.'];['B-FAUNA', 'O', 'O']
20;BHL_118_sample_English_20.0.txt_10365-10441;['BHL_118_sample_English_20.0.txt'];[10365];[10393];['Florian_Debaene'];['w.c.Emotions_Entities(ASP_SENT_NULL=NULL, begin=10365, end=10393, entitycategory=FAUNA)'];['A single adult male specimen'];A single adult male specimen belonging to this genus was discovered by Prof.;['NULL_CAT'];['FAUNA'];(['A', 'single', 'adult', 'male', 'specimen', 'belonging', 'to', 'this', 'genus', 'was', 'discovered', 'by', 'Prof', '.'], ['B-FAUNA', 'I-FAUNA', 'I-FAUNA', 'I-FAUNA', 'I-FAUNA', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']);['A', 'single', 'adult', 'male', 'specimen', 'belonging', 'to', 'this', 'genus', 'was', 'discovered', 'by', 'Prof', '.'];['B-FAUNA', 'I-FAUNA', 'I-FAUNA', 'I-FAUNA', 'I-FAUNA', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
20;BHL_118_sample_English_20.0.txt_10442-10528;['BHL_118_sample_English_20.0.txt'];[10487];[10495];['Florian_Debaene'];['w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=10487, end=10495, entitycategory=FAUNA)'];['Tunicate'];Sluiter in the atrial cavity of a species of Tunicate from Station 271 , 1788 metres .;['ASPECT'];['FAUNA'];(['Sluiter', 'in', 'the', 'atrial', 'cavity', 'of', 'a', 'species', 'of', 'Tunicate', 'from', 'Station', '271', ',', '1788', 'metres', '.'], ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FAUNA', 'O', 'O', 'O', 'O', 'O', 'O', 'O']);['Sluiter', 'in', 'the', 'atrial', 'cavity', 'of', 'a', 'species', 'of', 'Tunicate', 'from', 'Station', '271', ',', '1788', 'metres', '.'];['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FAUNA', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
20;BHL_118_sample_English_20.0.txt_10627-10633;['BHL_118_sample_English_20.0.txt'];[10627];[10631];['Florian_Debaene'];['w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=10627, end=10631, entitycategory=ORGANISATION)'];['Univ'];Univ .;['ASPECT'];['ORGANISATION'];(['Univ', '.'], ['B-ORGANISATION', 'O']);['Univ', '.'];['B-ORGANISATION', 'O']
20;BHL_118_sample_English_20.0.txt_10634-10683;['BHL_118_sample_English_20.0.txt'];[10634];[10638];['Florian_Debaene'];['w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=10634, end=10638, entitycategory=LOCATION)'];['Lyon'];Lyon XXVI , Campagne du `` Caudan '' , p. 530 ) .;['ASPECT'];['LOCATION'];"(['Lyon', 'XXVI', ',', 'Campagne', 'du', 'Caudan', ""''"", ',', 'p', '.', '530', '.'], ['B-LOCATION', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O'])";"['Lyon', 'XXVI', ',', 'Campagne', 'du', 'Caudan', ""''"", ',', 'p', '.', '530', '.']";['B-LOCATION', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
