Century	text	_sentence_text	annotation	aspect_cat	results	sentence_split	iob
20	['Weber, Max', 'Weber, Max', 'Station']	"Author: Weber, Max,
Title: Weber, Max,
Language: Dutch
Station 211 ."	['ASPECT', 'ASPECT', 'ASPECT']	['PERSON', 'PERSON', 'HUM_LANDFORM']	(['Author', 'Weber', ',', 'Max', ',', 'Title', 'Weber', ',', 'Max', ',', 'Language', 'Dutch', 'Station', '211', '.'], ['O', 'B-PERSON', 'I-PERSON', 'I-PERSON', 'O', 'O', 'B-PERSON', 'I-PERSON', 'I-PERSON', 'O', 'O', 'O', 'B-HUM_LANDFORM', 'O', 'O'])	['Author', 'Weber', ',', 'Max', ',', 'Title', 'Weber', ',', 'Max', ',', 'Language', 'Dutch', 'Station', '211', '.']	['O', 'B-PERSON', 'I-PERSON', 'I-PERSON', 'O', 'O', 'B-PERSON', 'I-PERSON', 'I-PERSON', 'O', 'O', 'O', 'B-HUM_LANDFORM', 'O', 'O']
20	['B. arenosa Goodsir']	It is very closely allied to B. arenosa Goodsir .	['ASPECT']	['FAUNA']	(['It', 'is', 'very', 'closely', 'allied', 'to', 'B', '.', 'arenosa', 'Goodsir', '.'], ['O', 'O', 'O', 'O', 'O', 'O', 'B-FAUNA', 'I-FAUNA', 'I-FAUNA', 'I-FAUNA', 'O'])	['It', 'is', 'very', 'closely', 'allied', 'to', 'B', '.', 'arenosa', 'Goodsir', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'B-FAUNA', 'I-FAUNA', 'I-FAUNA', 'I-FAUNA', 'O']
20	['Plankton']	Plankton .	['ASPECT']	['FAUNA']	(['Plankton', '.'], ['B-FAUNA', 'O'])	['Plankton', '.']	['B-FAUNA', 'O']
20	['Plankton']	Plankton .	['ASPECT']	['FAUNA']	(['Plankton', '.'], ['B-FAUNA', 'O'])	['Plankton', '.']	['B-FAUNA', 'O']
20	['Cyclaspoides']	Cyclaspoides .	['ASPECT']	['FAUNA']	(['Cyclaspoides', '.'], ['B-FAUNA', 'O'])	['Cyclaspoides', '.']	['B-FAUNA', 'O']
20	['Cyclaspoides']	Cyclaspoides sp .	['ASPECT']	['FAUNA']	(['Cyclaspoides', 'sp', '.'], ['B-FAUNA', 'O', 'O'])	['Cyclaspoides', 'sp', '.']	['B-FAUNA', 'O', 'O']
20	['A single adult male specimen']	A single adult male specimen belonging to this genus was discovered by Prof.	['NULL_CAT']	['FAUNA']	(['A', 'single', 'adult', 'male', 'specimen', 'belonging', 'to', 'this', 'genus', 'was', 'discovered', 'by', 'Prof', '.'], ['B-FAUNA', 'I-FAUNA', 'I-FAUNA', 'I-FAUNA', 'I-FAUNA', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O'])	['A', 'single', 'adult', 'male', 'specimen', 'belonging', 'to', 'this', 'genus', 'was', 'discovered', 'by', 'Prof', '.']	['B-FAUNA', 'I-FAUNA', 'I-FAUNA', 'I-FAUNA', 'I-FAUNA', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
20	['Tunicate']	Sluiter in the atrial cavity of a species of Tunicate from Station 271 , 1788 metres .	['ASPECT']	['FAUNA']	(['Sluiter', 'in', 'the', 'atrial', 'cavity', 'of', 'a', 'species', 'of', 'Tunicate', 'from', 'Station', '271', ',', '1788', 'metres', '.'], ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FAUNA', 'O', 'O', 'O', 'O', 'O', 'O', 'O'])	['Sluiter', 'in', 'the', 'atrial', 'cavity', 'of', 'a', 'species', 'of', 'Tunicate', 'from', 'Station', '271', ',', '1788', 'metres', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FAUNA', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
20	['Univ']	Univ .	['ASPECT']	['ORGANISATION']	(['Univ', '.'], ['B-ORGANISATION', 'O'])	['Univ', '.']	['B-ORGANISATION', 'O']
20	['Lyon']	Lyon XXVI , Campagne du `` Caudan '' , p. 530 ) .	['ASPECT']	['LOCATION']	"(['Lyon', 'XXVI', ',', 'Campagne', 'du', 'Caudan', ""''"", ',', 'p', '.', '530', '.'], ['B-LOCATION', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O'])"	"['Lyon', 'XXVI', ',', 'Campagne', 'du', 'Caudan', ""''"", ',', 'p', '.', '530', '.']"	['B-LOCATION', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
