,source_file,sentence,begin,end,annotator,_annotation,text,_sentence_text,annotation,sentiment_cat,aspect_cat
0,GB-117_sample_English_18.txt,GB-117_sample_English_18.txt_167-303,194,200,tess,"w.c.Link(Dependent=w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=194, end=200, entitycategory=WEATHER), Governor=w.c.Emotions_Entities(ASP_SENT_NULL=SENTIMENT, begin=185, end=193, sentimentcategory=3), begin=194, end=200, linktype=sentiment_of)",breeze,"In the P.M. had a moderate breeze at East , which in the Night Veer 'd to the North-East , and was attended with hazey , rainy weather .",ASPECT,3,WEATHER
1,GB-117_sample_English_18.txt,GB-117_sample_English_18.txt_1171-1330,1259,1273,tess,"w.c.Link(Dependent=w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=1259, end=1273, entitycategory=WEATHER), Governor=w.c.Emotions_Entities(ASP_SENT_NULL=SENTIMENT, begin=1254, end=1258, sentimentcategory=4), begin=1259, end=1273, linktype=sentiment_of)",Cloudy weather,"At Midnight the wind came to South-South-West , and increased to a brisk gale with fair Cloudy weather , which we made the most of as soon as it was daylight .",ASPECT,4,WEATHER
2,GB-117_sample_English_18.txt,GB-117_sample_English_18.txt_1480-1687,1548,1552,tess,"w.c.Link(Dependent=w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=1548, end=1552, entitycategory=WEATHER), Governor=w.c.Emotions_Entities(ASP_SENT_NULL=SENTIMENT, begin=1542, end=1547, sentimentcategory=4), begin=1548, end=1552, linktype=sentiment_of)",Gale,"Cloudy weather ; Winds at South-West and South-South-West , a fresh Gale , with which we made our Course good North-West by West , and distance run from Yesterday at Noon to this day at Noon 38 1/2 Leagues .",ASPECT,4,WEATHER
3,GB-117_sample_English_18.txt,GB-117_sample_English_18.txt_1826-1944,1845,1849,tess,"w.c.Link(Dependent=w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=1845, end=1849, entitycategory=WEATHER), Governor=w.c.Emotions_Entities(ASP_SENT_NULL=SENTIMENT, begin=1832, end=1844, sentimentcategory=4), begin=1845, end=1849, linktype=sentiment_of)",Gale,Had a steady brisk Gale at South-South-West with some flying showers of rain and large hollow Sea from the Southward .,ASPECT,4,WEATHER
4,GB-117_sample_English_18.txt,GB-117_sample_English_18.txt_2283-2356,2289,2294,tess,"w.c.Link(Dependent=w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=2289, end=2294, entitycategory=WEATHER), Governor=w.c.Emotions_Entities(ASP_SENT_NULL=SENTIMENT, begin=2283, end=2288, sentimentcategory=4), begin=2289, end=2294, linktype=sentiment_of)",Gales,"Fresh Gales at South , which in the A.M. veer 'd to South-East by South .",ASPECT,4,WEATHER
5,GB-117_sample_English_18.txt,GB-117_sample_English_18.txt_2945-2994,2952,2959,tess,"w.c.Link(Dependent=w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=2952, end=2959, entitycategory=WEATHER), Governor=w.c.Emotions_Entities(ASP_SENT_NULL=SENTIMENT, begin=2945, end=2951, sentimentcategory=4), begin=2952, end=2959, linktype=sentiment_of)",breezes,"Gentle breezes at North-East , which in the A.M .",ASPECT,4,WEATHER
6,GB-117_sample_English_18.txt,GB-117_sample_English_18.txt_3250-3375,3250,3256,tess,"w.c.Link(Dependent=w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=3250, end=3256, entitycategory=PERSON), Governor=w.c.Emotions_Entities(ASP_SENT_NULL=SENTIMENT, begin=3287, end=3310, sentimentcategory=2), begin=3250, end=3256, linktype=sentiment_of)",Bowles,"Bowles , Marine , with 12 lashes for refusing to do his duty when order 'd by the Boatswain 's Mate and Serjeant of Marines .",ASPECT,2,PERSON
7,GB-117_sample_English_18.txt,GB-117_sample_English_18.txt_3959-4025,3966,3973,tess,"w.c.Link(Dependent=w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=3966, end=3973, entitycategory=WEATHER), Governor=w.c.Emotions_Entities(ASP_SENT_NULL=SENTIMENT, begin=3959, end=3965, sentimentcategory=4), begin=3966, end=3973, linktype=sentiment_of)",breezes,Gentle breezes at North-West ; pleasant weather and a Smooth Sea .,ASPECT,4,WEATHER
8,GB-117_sample_English_18.txt,GB-117_sample_English_18.txt_3959-4025,3999,4006,tess,"w.c.Link(Dependent=w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=3999, end=4006, entitycategory=WEATHER), Governor=w.c.Emotions_Entities(ASP_SENT_NULL=SENTIMENT, begin=3990, end=3998, sentimentcategory=4), begin=3999, end=4006, linktype=sentiment_of)",weather,Gentle breezes at North-West ; pleasant weather and a Smooth Sea .,ASPECT,4,WEATHER
9,GB-117_sample_English_18.txt,GB-117_sample_English_18.txt_4026-4114,4044,4055,tess,"w.c.Link(Dependent=w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=4044, end=4055, entitycategory=FAUNA), Governor=w.c.Emotions_Entities(ASP_SENT_NULL=SENTIMENT, begin=4081, end=4112, sentimentcategory=4), begin=4044, end=4055, linktype=sentiment_of)",Tropic Bird,"In the A.M. saw a Tropic Bird , which , I believe , is uncommon in such high Latitudes .",ASPECT,4,FAUNA
