Unnamed: 0,source_file,sentence,begin,end,annotator,_annotation,text,_sentence_text,annotation,aspect_cat,century
0,GB-117_sample_English_18.txt,GB-117_sample_English_18.txt_0-111,8,18,tess,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=8, end=18, entitycategory=PERSON)",James Cook,"Author: James Cook
Title: James Cook
Language: English
PASSAGE FROM NEW ZEALAND TO NEW HOLLAND . [ April 1770 .",ASPECT,PERSON,18.0
1,GB-117_sample_English_18.txt,GB-117_sample_English_18.txt_0-111,68,79,tess,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=68, end=79, entitycategory=LOCATION)",NEW ZEALAND,"Author: James Cook
Title: James Cook
Language: English
PASSAGE FROM NEW ZEALAND TO NEW HOLLAND . [ April 1770 .",ASPECT,LOCATION,18.0
2,GB-117_sample_English_18.txt,GB-117_sample_English_18.txt_0-111,83,94,tess,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=83, end=94, entitycategory=LOCATION)",NEW HOLLAND,"Author: James Cook
Title: James Cook
Language: English
PASSAGE FROM NEW ZEALAND TO NEW HOLLAND . [ April 1770 .",ASPECT,LOCATION,18.0
3,GB-117_sample_English_18.txt,GB-117_sample_English_18.txt_112-166,117,128,tess,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=117, end=128, entitycategory=LOCATION)",New Zealand,"From New Zealand to Australia . ] SUNDAY , 1st April .",ASPECT,LOCATION,18.0
4,GB-117_sample_English_18.txt,GB-117_sample_English_18.txt_112-166,132,141,tess,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=132, end=141, entitycategory=LOCATION)",Australia,"From New Zealand to Australia . ] SUNDAY , 1st April .",ASPECT,LOCATION,18.0
6,GB-117_sample_English_18.txt,GB-117_sample_English_18.txt_167-303,194,200,tess,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=194, end=200, entitycategory=WEATHER)",breeze,"In the P.M. had a moderate breeze at East , which in the Night Veer 'd to the North-East , and was attended with hazey , rainy weather .",ASPECT,WEATHER,18.0
7,GB-117_sample_English_18.txt,GB-117_sample_English_18.txt_167-303,280,285,tess,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=280, end=285, entitycategory=WEATHER)",hazey,"In the P.M. had a moderate breeze at East , which in the Night Veer 'd to the North-East , and was attended with hazey , rainy weather .",ASPECT,WEATHER,18.0
8,GB-117_sample_English_18.txt,GB-117_sample_English_18.txt_167-303,288,293,tess,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=288, end=293, entitycategory=WEATHER)",rainy,"In the P.M. had a moderate breeze at East , which in the Night Veer 'd to the North-East , and was attended with hazey , rainy weather .",ASPECT,WEATHER,18.0
9,GB-117_sample_English_18.txt,GB-117_sample_English_18.txt_304-604,347,357,tess,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=347, end=357, entitycategory=LOCATION)",New Zeland,"I have before made mention of our quitting New Zeland with an intention to steer to the Westward , which we accordingly did , taking our departure from Cape Farewell in the Latitude of 40 degrees 30 minutes South and Longitude 185 degrees 58 minutes West from Greenwich , which bore from us at 5 p.m.",ASPECT,LOCATION,18.0
10,GB-117_sample_English_18.txt,GB-117_sample_English_18.txt_304-604,456,469,tess,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=456, end=469, entitycategory=LOCATION)",Cape Farewell,"I have before made mention of our quitting New Zeland with an intention to steer to the Westward , which we accordingly did , taking our departure from Cape Farewell in the Latitude of 40 degrees 30 minutes South and Longitude 185 degrees 58 minutes West from Greenwich , which bore from us at 5 p.m.",ASPECT,LOCATION,18.0
11,GB-117_sample_English_18.txt,GB-117_sample_English_18.txt_304-604,564,573,tess,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=564, end=573, entitycategory=LOCATION)",Greenwich,"I have before made mention of our quitting New Zeland with an intention to steer to the Westward , which we accordingly did , taking our departure from Cape Farewell in the Latitude of 40 degrees 30 minutes South and Longitude 185 degrees 58 minutes West from Greenwich , which bore from us at 5 p.m.",ASPECT,LOCATION,18.0
12,GB-117_sample_English_18.txt,GB-117_sample_English_18.txt_851-977,937,950,tess,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=937, end=950, entitycategory=LOCATION)",Cape Farewell,"At Noon our Latitude by account was 40 degrees 12 minutes South , Longitude made from Cape Farewell 1 degree 11 minutes West .",ASPECT,LOCATION,18.0
13,GB-117_sample_English_18.txt,GB-117_sample_English_18.txt_993-1083,1047,1060,tess,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=1047, end=1060, entitycategory=WEATHER)",hazey weather,"In the P.M. had a moderate Gale at North , with thick hazey weather , attended with rain .",ASPECT,WEATHER,18.0
14,GB-117_sample_English_18.txt,GB-117_sample_English_18.txt_993-1083,1077,1081,tess,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=1077, end=1081, entitycategory=WEATHER)",rain,"In the P.M. had a moderate Gale at North , with thick hazey weather , attended with rain .",ASPECT,WEATHER,18.0
15,GB-117_sample_English_18.txt,GB-117_sample_English_18.txt_1084-1170,1104,1108,tess,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=1104, end=1108, entitycategory=WEATHER)",wind,"At 8 it fell little wind , and Veer 'd to West-South-West , at which time we Tack 'd .",ASPECT,WEATHER,18.0
17,GB-117_sample_English_18.txt,GB-117_sample_English_18.txt_1171-1330,1259,1273,tess,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=1259, end=1273, entitycategory=WEATHER)",Cloudy weather,"At Midnight the wind came to South-South-West , and increased to a brisk gale with fair Cloudy weather , which we made the most of as soon as it was daylight .",ASPECT,WEATHER,18.0
18,GB-117_sample_English_18.txt,GB-117_sample_English_18.txt_1171-1330,1320,1328,tess,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=1320, end=1328, entitycategory=NAT_PHENOMENON)",daylight,"At Midnight the wind came to South-South-West , and increased to a brisk gale with fair Cloudy weather , which we made the most of as soon as it was daylight .",ASPECT,NAT_PHENOMENON,18.0
