sentence,source_file,begin,end,annotator,_annotation,text,_sentence_text,annotation,aspect_cat,results,sentence_split,iob
BHL_1025_sample_French_20.0.txt_10022-10096,['BHL_1025_sample_French_20.0.txt'],[10052],[10057],['Eltine_Janssens'],"['w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=10052, end=10057, entitycategory=LOCATION)']",['Paris'],"Willdenow que j'ai apporté de Paris , enfin avec le Gênera plantarum de M.",['ASPECT'],['LOCATION'],"(['Willdenow', 'que', ""j'ai"", 'apporté', 'de', 'Paris', ',', 'enfin', 'avec', 'le', 'Gênera', 'plantarum', 'de', 'M', '.'], ['O', 'O', 'O', 'O', 'O', 'B-LOCATION', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O'])","['Willdenow', 'que', ""j'ai"", 'apporté', 'de', 'Paris', ',', 'enfin', 'avec', 'le', 'Gênera', 'plantarum', 'de', 'M', '.']","['O', 'O', 'O', 'O', 'O', 'B-LOCATION', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
BHL_1025_sample_French_20.0.txt_1006-1183,['BHL_1025_sample_French_20.0.txt'],[1170],[1177],['sarah_a'],"['w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=1170, end=1177, entitycategory=NAT_LANDFORM)']",['mercure'],"Après que son état fut amélioré , nous entreprîmes des promenades et il mecon- cueillir entre deux cartes à jouer à peu près une demi-bouteille d'eau de cologne de mercure pur .",['ASPECT'],['NAT_LANDFORM'],"(['Après', 'que', 'son', 'état', 'fut', 'amélioré', ',', 'nous', 'entreprîmes', 'des', 'promenades', 'et', 'il', 'mecon', 'cueillir', 'entre', 'deux', 'cartes', 'à', 'jouer', 'à', 'peu', 'près', 'une', 'demi', 'bouteille', ""d'eau"", 'de', 'cologne', 'de', 'mercure', 'pur', '.'], ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-NAT_LANDFORM', 'O', 'O'])","['Après', 'que', 'son', 'état', 'fut', 'amélioré', ',', 'nous', 'entreprîmes', 'des', 'promenades', 'et', 'il', 'mecon', 'cueillir', 'entre', 'deux', 'cartes', 'à', 'jouer', 'à', 'peu', 'près', 'une', 'demi', 'bouteille', ""d'eau"", 'de', 'cologne', 'de', 'mercure', 'pur', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-NAT_LANDFORM', 'O', 'O']"
BHL_1025_sample_French_20.0.txt_10097-10170,['BHL_1025_sample_French_20.0.txt'],[10164],[10167],['Eltine_Janssens'],"['w.c.Emotions_Entities(ASP_SENT_NULL=NULL, begin=10164, end=10167, entitycategory=PERSON, sentimentcategory=4)']",['ami'],Endliger et les onze premiers volumes du Prodromus de notre ancien ami M.,['NULL_CAT'],['PERSON'],"(['Endliger', 'et', 'les', 'onze', 'premiers', 'volumes', 'du', 'Prodromus', 'de', 'notre', 'ancien', 'ami', 'M', '.'], ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'O', 'O'])","['Endliger', 'et', 'les', 'onze', 'premiers', 'volumes', 'du', 'Prodromus', 'de', 'notre', 'ancien', 'ami', 'M', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'O', 'O']"
BHL_1025_sample_French_20.0.txt_10171-10300,['BHL_1025_sample_French_20.0.txt'],[10245],[10258],['Eltine_Janssens'],"['w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=10245, end=10258, entitycategory=PERSON)']",['AIMÉ RONPLAND'],Decan- facilement combien il m'est difficile avec ce 214 CORRESPONDANCE D AIMÉ RONPLAND peu d'ouvrages de satisfaire mes désirs .,['ASPECT'],['PERSON'],"(['Decan', 'facilement', 'combien', 'il', ""m'est"", 'difficile', 'avec', 'ce', '214', 'CORRESPONDANCE', 'D', 'AIMÉ', 'RONPLAND', 'peu', ""d'ouvrages"", 'de', 'satisfaire', 'mes', 'désirs', '.'], ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'I-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O'])","['Decan', 'facilement', 'combien', 'il', ""m'est"", 'difficile', 'avec', 'ce', '214', 'CORRESPONDANCE', 'D', 'AIMÉ', 'RONPLAND', 'peu', ""d'ouvrages"", 'de', 'satisfaire', 'mes', 'désirs', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'I-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
BHL_1025_sample_French_20.0.txt_10301-10569,"['BHL_1025_sample_French_20.0.txt', 'BHL_1025_sample_French_20.0.txt', 'BHL_1025_sample_French_20.0.txt', 'BHL_1025_sample_French_20.0.txt']","[10422, 10447, 10509, 10559]","[10458, 10458, 10515, 10567]","['Eltine_Janssens', 'Eltine_Janssens', 'Eltine_Janssens', 'Eltine_Janssens']","['w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=10422, end=10458, entitycategory=ORGANISATION)', 'w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=10447, end=10458, entitycategory=LOCATION)', 'w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=10509, end=10515, entitycategory=LOCATION)', 'w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=10559, end=10567, entitycategory=LOCATION)']","['université prussienne de Greifswalde', 'Greifswalde', 'Prusse', 'Amérique']",Mais aujourd'hui je re- double de courage par l'espoir * que j'ai d'entrer en relation directe et suivie avec la célèbre université prussienne de Greifswalde et j'ai la douce espérance de pouvoir enrichir la Prusse des produits végétaux et minéraux de cette Amérique .,"['ASPECT', 'ASPECT', 'ASPECT', 'ASPECT']","['ORGANISATION', 'LOCATION', 'LOCATION', 'LOCATION']","(['Mais', ""aujourd'hui"", 'je', 're', 'double', 'de', 'courage', 'par', ""l'espoir"", 'que', ""j'ai"", ""d'entrer"", 'en', 'relation', 'directe', 'et', 'suivie', 'avec', 'la', 'célèbre', 'université', 'prussienne', 'de', 'Greifswalde', 'et', ""j'ai"", 'la', 'douce', 'espérance', 'de', 'pouvoir', 'enrichir', 'la', 'Prusse', 'des', 'produits', 'végétaux', 'et', 'minéraux', 'de', 'cette', 'Amérique', '.'], ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORGANISATION', 'I-ORGANISATION', 'I-ORGANISATION', 'B-LOCATION', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOCATION', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOCATION', 'O'])","['Mais', ""aujourd'hui"", 'je', 're', 'double', 'de', 'courage', 'par', ""l'espoir"", 'que', ""j'ai"", ""d'entrer"", 'en', 'relation', 'directe', 'et', 'suivie', 'avec', 'la', 'célèbre', 'université', 'prussienne', 'de', 'Greifswalde', 'et', ""j'ai"", 'la', 'douce', 'espérance', 'de', 'pouvoir', 'enrichir', 'la', 'Prusse', 'des', 'produits', 'végétaux', 'et', 'minéraux', 'de', 'cette', 'Amérique', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORGANISATION', 'I-ORGANISATION', 'I-ORGANISATION', 'B-LOCATION', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOCATION', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOCATION', 'O']"
BHL_1025_sample_French_20.0.txt_10617-10870,"['BHL_1025_sample_French_20.0.txt', 'BHL_1025_sample_French_20.0.txt']","[10637, 10802]","[10642, 10868]","['Eltine_Janssens', 'Eltine_Janssens']","['w.c.Emotions_Entities(ASP_SENT_NULL=NULL, begin=10637, end=10642, entitycategory=PERSON, sentimentcategory=3)', 'w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=10802, end=10868, entitycategory=HUM_LANDFORM)']","['homme', 'Muséum des produits de Corrientes et de la Confédération Argentine']","Juan Pujol , est un homme instruit , très libéral , trèspatriote et qui désire le bonheur de son pays ; il a eu je dirais l'heureuse idée de former un cabinet d'histoire naturelle , un Muséum des produits de Corrientes et de la Confédération Argentine .","['NULL_CAT', 'ASPECT']","['PERSON', 'HUM_LANDFORM']","(['Juan', 'Pujol', ',', 'est', 'un', 'homme', 'instruit', ',', 'très', 'libéral', ',', 'trèspatriote', 'et', 'qui', 'désire', 'le', 'bonheur', 'de', 'son', 'pays', ';', 'il', 'a', 'eu', 'je', 'dirais', ""l'heureuse"", 'idée', 'de', 'former', 'un', 'cabinet', ""d'histoire"", 'naturelle', ',', 'un', 'Muséum', 'des', 'produits', 'de', 'Corrientes', 'et', 'de', 'la', 'Confédération', 'Argentine', '.'], ['O', 'O', 'O', 'O', 'O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-HUM_LANDFORM', 'I-HUM_LANDFORM', 'I-HUM_LANDFORM', 'I-HUM_LANDFORM', 'I-HUM_LANDFORM', 'I-HUM_LANDFORM', 'I-HUM_LANDFORM', 'I-HUM_LANDFORM', 'I-HUM_LANDFORM', 'I-HUM_LANDFORM', 'O'])","['Juan', 'Pujol', ',', 'est', 'un', 'homme', 'instruit', ',', 'très', 'libéral', ',', 'trèspatriote', 'et', 'qui', 'désire', 'le', 'bonheur', 'de', 'son', 'pays', ';', 'il', 'a', 'eu', 'je', 'dirais', ""l'heureuse"", 'idée', 'de', 'former', 'un', 'cabinet', ""d'histoire"", 'naturelle', ',', 'un', 'Muséum', 'des', 'produits', 'de', 'Corrientes', 'et', 'de', 'la', 'Confédération', 'Argentine', '.']","['O', 'O', 'O', 'O', 'O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-HUM_LANDFORM', 'I-HUM_LANDFORM', 'I-HUM_LANDFORM', 'I-HUM_LANDFORM', 'I-HUM_LANDFORM', 'I-HUM_LANDFORM', 'I-HUM_LANDFORM', 'I-HUM_LANDFORM', 'I-HUM_LANDFORM', 'I-HUM_LANDFORM', 'O']"
BHL_1025_sample_French_20.0.txt_10871-10907,['BHL_1025_sample_French_20.0.txt'],[10905],[10906],['Eltine_Janssens'],"['w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=10905, end=10906, entitycategory=PERSON)']",['M'],Pour remplir de si utiles projets M.,['ASPECT'],['PERSON'],"(['Pour', 'remplir', 'de', 'si', 'utiles', 'projets', 'M', '.'], ['O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'O'])","['Pour', 'remplir', 'de', 'si', 'utiles', 'projets', 'M', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'O']"
BHL_1025_sample_French_20.0.txt_10908-11067,"['BHL_1025_sample_French_20.0.txt', 'BHL_1025_sample_French_20.0.txt']","[10908, 11041]","[10913, 11047]","['Eltine_Janssens', 'Eltine_Janssens']","['w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=10908, end=10913, entitycategory=PERSON)', 'w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=11041, end=11047, entitycategory=FAUNA)']","['Pujol', 'bétail']",Pujol m ' a fait sortir de mon estance où j'étais entièrement occupé à réparer une partie des pertes que j'ai faites de mon nombreux bétail et autres animaux .,"['ASPECT', 'ASPECT']","['PERSON', 'FAUNA']","(['Pujol', 'm', ""'"", 'a', 'fait', 'sortir', 'de', 'mon', 'estance', 'où', ""j'étais"", 'entièrement', 'occupé', 'à', 'réparer', 'une', 'partie', 'des', 'pertes', 'que', ""j'ai"", 'faites', 'de', 'mon', 'nombreux', 'bétail', 'et', 'autres', 'animaux', '.'], ['B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FAUNA', 'O', 'O', 'O', 'O'])","['Pujol', 'm', ""'"", 'a', 'fait', 'sortir', 'de', 'mon', 'estance', 'où', ""j'étais"", 'entièrement', 'occupé', 'à', 'réparer', 'une', 'partie', 'des', 'pertes', 'que', ""j'ai"", 'faites', 'de', 'mon', 'nombreux', 'bétail', 'et', 'autres', 'animaux', '.']","['B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FAUNA', 'O', 'O', 'O', 'O']"
BHL_1025_sample_French_20.0.txt_11068-11150,['BHL_1025_sample_French_20.0.txt'],[11120],[11138],['Eltine_Janssens'],"['w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=11120, end=11138, entitycategory=FLORA)']","[""d'arbres fruitiers""]",Il ne m'est resté que le terrain et mes plantations d'arbres fruitiers et autres .,['ASPECT'],['FLORA'],"(['Il', 'ne', ""m'est"", 'resté', 'que', 'le', 'terrain', 'et', 'mes', 'plantations', ""d'arbres"", 'fruitiers', 'et', 'autres', '.'], ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FLORA', 'I-FLORA', 'O', 'O', 'O'])","['Il', 'ne', ""m'est"", 'resté', 'que', 'le', 'terrain', 'et', 'mes', 'plantations', ""d'arbres"", 'fruitiers', 'et', 'autres', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FLORA', 'I-FLORA', 'O', 'O', 'O']"
BHL_1025_sample_French_20.0.txt_11151-11302,['BHL_1025_sample_French_20.0.txt'],[11191],[11213],['Eltine_Janssens'],"['w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=11191, end=11213, entitycategory=PERSON)']",['M. le gouverneur Pujol'],"Désireux de seconder les vues utiles de M. le gouverneur Pujol , je lui ai offert des doubles de toutes mes collections et je remplirai mes promesses .",['ASPECT'],['PERSON'],"(['Désireux', 'de', 'seconder', 'les', 'vues', 'utiles', 'de', 'M', '.', 'le', 'gouverneur', 'Pujol', ',', 'je', 'lui', 'ai', 'offert', 'des', 'doubles', 'de', 'toutes', 'mes', 'collections', 'et', 'je', 'remplirai', 'mes', 'promesses', '.'], ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'I-PERSON', 'I-PERSON', 'I-PERSON', 'I-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O'])","['Désireux', 'de', 'seconder', 'les', 'vues', 'utiles', 'de', 'M', '.', 'le', 'gouverneur', 'Pujol', ',', 'je', 'lui', 'ai', 'offert', 'des', 'doubles', 'de', 'toutes', 'mes', 'collections', 'et', 'je', 'remplirai', 'mes', 'promesses', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'I-PERSON', 'I-PERSON', 'I-PERSON', 'I-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
