,source_file,sentence,begin,end,annotator,_annotation,text,_sentence_text,annotation,sentiment_cat,aspect_cat
189,GB-169_sample_IAA_19_French.txt,GB-169_sample_IAA_19_French.txt_393-789,420,424,Florian_Debaene,"w.c.Link(Dependent=w.c.Emotions_Entities(ASP_SENT_NULL=NULL, begin=420, end=424, entitycategory=LOCATION), Governor=w.c.Emotions_Entities(ASP_SENT_NULL=SENTIMENT, begin=473, end=485, sentimentcategory=4), begin=420, end=424, linktype=sentiment_of)",pays,"À l'intérêt général que ce pays inspire , soit par l'importance que lui donnent sa fertilité et sa situation , soit par les souvenirs historiques qu'il retrace à l'imagination , se joint en ce moment l'intérêt des grands événements militaires dont il vient d'être le théâtre ; aussi la curiosité est-elle doublement excitée lorsqu'il paraît aujourd'hui quelque nouvelle publication sur l'Égypte .",NULL,4,LOCATION
190,GB-169_sample_IAA_19_French.txt,GB-169_sample_IAA_19_French.txt_393-789,420,424,Florian_Debaene,"w.c.Link(Dependent=w.c.Emotions_Entities(ASP_SENT_NULL=NULL, begin=420, end=424, entitycategory=LOCATION), Governor=w.c.Emotions_Entities(ASP_SENT_NULL=SENTIMENT, begin=513, end=538, sentimentcategory=4), begin=420, end=424, linktype=sentiment_of)",pays,"À l'intérêt général que ce pays inspire , soit par l'importance que lui donnent sa fertilité et sa situation , soit par les souvenirs historiques qu'il retrace à l'imagination , se joint en ce moment l'intérêt des grands événements militaires dont il vient d'être le théâtre ; aussi la curiosité est-elle doublement excitée lorsqu'il paraît aujourd'hui quelque nouvelle publication sur l'Égypte .",NULL,4,LOCATION
191,GB-169_sample_IAA_19_French.txt,GB-169_sample_IAA_19_French.txt_393-789,420,424,Florian_Debaene,"w.c.Link(Dependent=w.c.Emotions_Entities(ASP_SENT_NULL=NULL, begin=420, end=424, entitycategory=LOCATION), Governor=w.c.Emotions_Entities(ASP_SENT_NULL=SENTIMENT, begin=489, end=501, sentimentcategory=4), begin=420, end=424, linktype=sentiment_of)",pays,"À l'intérêt général que ce pays inspire , soit par l'importance que lui donnent sa fertilité et sa situation , soit par les souvenirs historiques qu'il retrace à l'imagination , se joint en ce moment l'intérêt des grands événements militaires dont il vient d'être le théâtre ; aussi la curiosité est-elle doublement excitée lorsqu'il paraît aujourd'hui quelque nouvelle publication sur l'Égypte .",NULL,4,LOCATION
192,GB-169_sample_IAA_19_French.txt,GB-169_sample_IAA_19_French.txt_1018-1318,1105,1117,Florian_Debaene,"w.c.Link(Dependent=w.c.Emotions_Entities(ASP_SENT_NULL=NULL, begin=1105, end=1117, entitycategory=LOCATION, sentimentcategory=4), Governor=w.c.Emotions_Entities(ASP_SENT_NULL=SENTIMENT, begin=1120, end=1165, sentimentcategory=5), begin=1105, end=1117, linktype=sentiment_of)",ce beau pays,"Par quelle fatalité se fait-il que des rivalités d'ambition condamnent irrévocablement ce beau pays , ce grand domaine des artistes du monde entier , ce berceau des sciences , cette magnifique école encore subsistante d'architecture et de sculpture , à la destruction , à la misère et à la barbarie ?",NULL,5,LOCATION
193,GB-169_sample_IAA_19_French.txt,GB-169_sample_IAA_19_French.txt_1018-1318,1105,1117,Florian_Debaene,"w.c.Link(Dependent=w.c.Emotions_Entities(ASP_SENT_NULL=NULL, begin=1105, end=1117, entitycategory=LOCATION, sentimentcategory=4), Governor=w.c.Emotions_Entities(ASP_SENT_NULL=SENTIMENT, begin=1168, end=1191, sentimentcategory=4), begin=1105, end=1117, linktype=sentiment_of)",ce beau pays,"Par quelle fatalité se fait-il que des rivalités d'ambition condamnent irrévocablement ce beau pays , ce grand domaine des artistes du monde entier , ce berceau des sciences , cette magnifique école encore subsistante d'architecture et de sculpture , à la destruction , à la misère et à la barbarie ?",NULL,4,LOCATION
194,GB-169_sample_IAA_19_French.txt,GB-169_sample_IAA_19_French.txt_1018-1318,1105,1117,Florian_Debaene,"w.c.Link(Dependent=w.c.Emotions_Entities(ASP_SENT_NULL=NULL, begin=1105, end=1117, entitycategory=LOCATION, sentimentcategory=4), Governor=w.c.Emotions_Entities(ASP_SENT_NULL=SENTIMENT, begin=1194, end=1266, sentimentcategory=5), begin=1105, end=1117, linktype=sentiment_of)",ce beau pays,"Par quelle fatalité se fait-il que des rivalités d'ambition condamnent irrévocablement ce beau pays , ce grand domaine des artistes du monde entier , ce berceau des sciences , cette magnifique école encore subsistante d'architecture et de sculpture , à la destruction , à la misère et à la barbarie ?",NULL,5,LOCATION
195,GB-169_sample_IAA_19_French.txt,GB-169_sample_IAA_19_French.txt_1319-2081,1327,1344,Florian_Debaene,"w.c.Link(Dependent=w.c.Emotions_Entities(ASP_SENT_NULL=NULL, begin=1327, end=1344, entitycategory=PERSON), Governor=w.c.Emotions_Entities(ASP_SENT_NULL=SENTIMENT, begin=1505, end=1517, sentimentcategory=4), begin=1327, end=1344, linktype=sentiment_of)",les amis des arts,"En vain les amis des arts s'étaient flattés d'un arrangement qui leur aurait permis d'aller interroger ces mystérieuses constructions aux lieux qui les ont vu s'élever , et qui semblent encore fiers d'en porter le vénérable fardeau ; il faut y renoncer ; le charme est détruit ; la porte de l'Égypte vient de se refermer une autre fois sur l'Europe , et le dernier soldat Britannique qui évacuera Alexandrie , pourra dire : _voi che vorreste entrare , perdete via ogni speranza_ [ 2 ] . [ 2 : Un homme de lettres m ' a communiqué un état qu'il s'était amusé à faire de la dépense que coûteraient , et du nombre de jours que prendraient , la route de Londres à Thèbes et le retour de Thèbes à Londres , par des diligences , paquebots , et coches d'eau réguliers .",NULL,4,PERSON
196,GB-169_sample_IAA_19_French.txt,GB-169_sample_IAA_19_French.txt_1319-2081,1422,1452,Florian_Debaene,"w.c.Link(Dependent=w.c.Emotions_Entities(ASP_SENT_NULL=NULL, begin=1422, end=1452, entitycategory=HUM_LANDFORM, sentimentcategory=4), Governor=w.c.Emotions_Entities(ASP_SENT_NULL=SENTIMENT, begin=1530, end=1550, sentimentcategory=4), begin=1422, end=1452, linktype=sentiment_of)",ces mystérieuses constructions,"En vain les amis des arts s'étaient flattés d'un arrangement qui leur aurait permis d'aller interroger ces mystérieuses constructions aux lieux qui les ont vu s'élever , et qui semblent encore fiers d'en porter le vénérable fardeau ; il faut y renoncer ; le charme est détruit ; la porte de l'Égypte vient de se refermer une autre fois sur l'Europe , et le dernier soldat Britannique qui évacuera Alexandrie , pourra dire : _voi che vorreste entrare , perdete via ogni speranza_ [ 2 ] . [ 2 : Un homme de lettres m ' a communiqué un état qu'il s'était amusé à faire de la dépense que coûteraient , et du nombre de jours que prendraient , la route de Londres à Thèbes et le retour de Thèbes à Londres , par des diligences , paquebots , et coches d'eau réguliers .",NULL,4,HUM_LANDFORM
197,GB-169_sample_IAA_19_French.txt,GB-169_sample_IAA_19_French.txt_1319-2081,1574,1583,Florian_Debaene,"w.c.Link(Dependent=w.c.Emotions_Entities(ASP_SENT_NULL=NULL, begin=1574, end=1583, entitycategory=LOCATION), Governor=w.c.Emotions_Entities(ASP_SENT_NULL=SENTIMENT, begin=1588, end=1595, sentimentcategory=1), begin=1574, end=1583, linktype=sentiment_of)",le charme,"En vain les amis des arts s'étaient flattés d'un arrangement qui leur aurait permis d'aller interroger ces mystérieuses constructions aux lieux qui les ont vu s'élever , et qui semblent encore fiers d'en porter le vénérable fardeau ; il faut y renoncer ; le charme est détruit ; la porte de l'Égypte vient de se refermer une autre fois sur l'Europe , et le dernier soldat Britannique qui évacuera Alexandrie , pourra dire : _voi che vorreste entrare , perdete via ogni speranza_ [ 2 ] . [ 2 : Un homme de lettres m ' a communiqué un état qu'il s'était amusé à faire de la dépense que coûteraient , et du nombre de jours que prendraient , la route de Londres à Thèbes et le retour de Thèbes à Londres , par des diligences , paquebots , et coches d'eau réguliers .",NULL,1,LOCATION
691,GB-214_sample_French_20.txt,GB-214_sample_French_20.txt_0-111,81,89,Florian_Debaene,"w.c.Link(Dependent=w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=81, end=89, entitycategory=BIOME), Governor=w.c.Emotions_Entities(ASP_SENT_NULL=SENTIMENT, begin=90, end=109, sentimentcategory=3), begin=81, end=89, linktype=sentiment_of)",des eaux,"Author: Anatole Le Braz
Title: Anatole Le Braz
Language: French
Nous sommes dans des eaux relativement calmes .",ASPECT,3,BIOME
692,GB-214_sample_French_20.txt,GB-214_sample_French_20.txt_246-309,246,255,Florian_Debaene,"w.c.Link(Dependent=w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=246, end=255, entitycategory=HUM_LANDFORM), Governor=w.c.Emotions_Entities(ASP_SENT_NULL=SENTIMENT, begin=256, end=269, sentimentcategory=4), begin=246, end=255, linktype=sentiment_of)",Le refuge,Le refuge tant souhaité n'est plus qu ' à quelques encablures .,ASPECT,4,HUM_LANDFORM
693,GB-214_sample_French_20.txt,GB-214_sample_French_20.txt_310-567,350,374,Florian_Debaene,"w.c.Link(Dependent=w.c.Emotions_Entities(ASP_SENT_NULL=NULL, begin=350, end=374, entitycategory=HUM_LANDFORM, sentimentcategory=4), Governor=w.c.Emotions_Entities(ASP_SENT_NULL=SENTIMENT, begin=395, end=431, sentimentcategory=4), begin=350, end=374, linktype=sentiment_of)",les réflecteurs du phare,"Dans le ciel , au-dessus de nos têtes , les réflecteurs du phare promènent en cercle les bras immenses d'une croix de feu , comme pour exorciser l'orage , et , de fait , les puissances démoniaques du vent ne se hasardent point en deçà de la zone enchantée .",NULL,4,HUM_LANDFORM
