,source_file,sentence,begin,end,annotator,_annotation,text,_sentence_text,annotation,aspect_cat
836,GB-169_sample_IAA_19_French.txt,GB-169_sample_IAA_19_French.txt_0-392,8,20,Eltine_Janssens,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=8, end=20, entitycategory=PERSON)",Vivant Denon,"Author: Vivant Denon
Title: Voyages dans la basse et la haute Egypte
Cependant les récits de ces voyageurs , et surtout de ceux qui avaient parcouru la Haute-Égypte , étaient si imparfaits ; leurs moyens de visiter , d'examiner , et de représenter les monuments que ce pays recèle encore , étaient si bornés , que leurs relations servaient plutôt à exciter la curiosité qu ' à la satisfaire .",ASPECT,PERSON
837,GB-169_sample_IAA_19_French.txt,GB-169_sample_IAA_19_French.txt_0-392,62,68,Eltine_Janssens,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=62, end=68, entitycategory=LOCATION)",Egypte,"Author: Vivant Denon
Title: Voyages dans la basse et la haute Egypte
Cependant les récits de ces voyageurs , et surtout de ceux qui avaient parcouru la Haute-Égypte , étaient si imparfaits ; leurs moyens de visiter , d'examiner , et de représenter les monuments que ce pays recèle encore , étaient si bornés , que leurs relations servaient plutôt à exciter la curiosité qu ' à la satisfaire .",ASPECT,LOCATION
838,GB-169_sample_IAA_19_French.txt,GB-169_sample_IAA_19_French.txt_0-392,97,106,Eltine_Janssens,"w.c.Emotions_Entities(ASP_SENT_NULL=NULL, begin=97, end=106, entitycategory=PERSON, sentimentcategory=3)",voyageurs,"Author: Vivant Denon
Title: Voyages dans la basse et la haute Egypte
Cependant les récits de ces voyageurs , et surtout de ceux qui avaient parcouru la Haute-Égypte , étaient si imparfaits ; leurs moyens de visiter , d'examiner , et de représenter les monuments que ce pays recèle encore , étaient si bornés , que leurs relations servaient plutôt à exciter la curiosité qu ' à la satisfaire .",NULL,PERSON
839,GB-169_sample_IAA_19_French.txt,GB-169_sample_IAA_19_French.txt_0-392,152,164,Eltine_Janssens,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=152, end=164, entitycategory=LOCATION)",Haute-Égypte,"Author: Vivant Denon
Title: Voyages dans la basse et la haute Egypte
Cependant les récits de ces voyageurs , et surtout de ceux qui avaient parcouru la Haute-Égypte , étaient si imparfaits ; leurs moyens de visiter , d'examiner , et de représenter les monuments que ce pays recèle encore , étaient si bornés , que leurs relations servaient plutôt à exciter la curiosité qu ' à la satisfaire .",ASPECT,LOCATION
840,GB-169_sample_IAA_19_French.txt,GB-169_sample_IAA_19_French.txt_393-789,779,787,Eltine_Janssens,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=779, end=787, entitycategory=PERSON)",l'Égypte,"À l'intérêt général que ce pays inspire , soit par l'importance que lui donnent sa fertilité et sa situation , soit par les souvenirs historiques qu'il retrace à l'imagination , se joint en ce moment l'intérêt des grands événements militaires dont il vient d'être le théâtre ; aussi la curiosité est-elle doublement excitée lorsqu'il paraît aujourd'hui quelque nouvelle publication sur l'Égypte .",ASPECT,PERSON
841,GB-169_sample_IAA_19_French.txt,GB-169_sample_IAA_19_French.txt_790-1017,967,974,Eltine_Janssens,"w.c.Emotions_Entities(ASP_SENT_NULL=NULL, begin=967, end=974, entitycategory=PERSON, sentimentcategory=3)",savants,"Deux grandes nations y ont paru tour à tour victorieuses . « Elles aimeront toujours à revoir les images des lieux et des monuments témoins de leurs exploits , tandis que leurs savants y chercheront de nouveaux sujets d'étude .",NULL,PERSON
842,GB-169_sample_IAA_19_French.txt,GB-169_sample_IAA_19_French.txt_1319-2081,1610,1618,Eltine_Janssens,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=1610, end=1618, entitycategory=LOCATION)",l'Égypte,"En vain les amis des arts s'étaient flattés d'un arrangement qui leur aurait permis d'aller interroger ces mystérieuses constructions aux lieux qui les ont vu s'élever , et qui semblent encore fiers d'en porter le vénérable fardeau ; il faut y renoncer ; le charme est détruit ; la porte de l'Égypte vient de se refermer une autre fois sur l'Europe , et le dernier soldat Britannique qui évacuera Alexandrie , pourra dire : _voi che vorreste entrare , perdete via ogni speranza_ [ 2 ] . [ 2 : Un homme de lettres m ' a communiqué un état qu'il s'était amusé à faire de la dépense que coûteraient , et du nombre de jours que prendraient , la route de Londres à Thèbes et le retour de Thèbes à Londres , par des diligences , paquebots , et coches d'eau réguliers .",ASPECT,LOCATION
843,GB-169_sample_IAA_19_French.txt,GB-169_sample_IAA_19_French.txt_1319-2081,1659,1667,Eltine_Janssens,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=1659, end=1667, entitycategory=LOCATION)",l'Europe,"En vain les amis des arts s'étaient flattés d'un arrangement qui leur aurait permis d'aller interroger ces mystérieuses constructions aux lieux qui les ont vu s'élever , et qui semblent encore fiers d'en porter le vénérable fardeau ; il faut y renoncer ; le charme est détruit ; la porte de l'Égypte vient de se refermer une autre fois sur l'Europe , et le dernier soldat Britannique qui évacuera Alexandrie , pourra dire : _voi che vorreste entrare , perdete via ogni speranza_ [ 2 ] . [ 2 : Un homme de lettres m ' a communiqué un état qu'il s'était amusé à faire de la dépense que coûteraient , et du nombre de jours que prendraient , la route de Londres à Thèbes et le retour de Thèbes à Londres , par des diligences , paquebots , et coches d'eau réguliers .",ASPECT,LOCATION
844,GB-169_sample_IAA_19_French.txt,GB-169_sample_IAA_19_French.txt_1319-2081,1684,1690,Eltine_Janssens,"w.c.Emotions_Entities(ASP_SENT_NULL=NULL, begin=1684, end=1690, entitycategory=PERSON, sentimentcategory=3)",soldat,"En vain les amis des arts s'étaient flattés d'un arrangement qui leur aurait permis d'aller interroger ces mystérieuses constructions aux lieux qui les ont vu s'élever , et qui semblent encore fiers d'en porter le vénérable fardeau ; il faut y renoncer ; le charme est détruit ; la porte de l'Égypte vient de se refermer une autre fois sur l'Europe , et le dernier soldat Britannique qui évacuera Alexandrie , pourra dire : _voi che vorreste entrare , perdete via ogni speranza_ [ 2 ] . [ 2 : Un homme de lettres m ' a communiqué un état qu'il s'était amusé à faire de la dépense que coûteraient , et du nombre de jours que prendraient , la route de Londres à Thèbes et le retour de Thèbes à Londres , par des diligences , paquebots , et coches d'eau réguliers .",NULL,PERSON
845,GB-169_sample_IAA_19_French.txt,GB-169_sample_IAA_19_French.txt_1319-2081,1716,1726,Eltine_Janssens,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=1716, end=1726, entitycategory=LOCATION)",Alexandrie,"En vain les amis des arts s'étaient flattés d'un arrangement qui leur aurait permis d'aller interroger ces mystérieuses constructions aux lieux qui les ont vu s'élever , et qui semblent encore fiers d'en porter le vénérable fardeau ; il faut y renoncer ; le charme est détruit ; la porte de l'Égypte vient de se refermer une autre fois sur l'Europe , et le dernier soldat Britannique qui évacuera Alexandrie , pourra dire : _voi che vorreste entrare , perdete via ogni speranza_ [ 2 ] . [ 2 : Un homme de lettres m ' a communiqué un état qu'il s'était amusé à faire de la dépense que coûteraient , et du nombre de jours que prendraient , la route de Londres à Thèbes et le retour de Thèbes à Londres , par des diligences , paquebots , et coches d'eau réguliers .",ASPECT,LOCATION
