,source_file,sentence,begin,end,annotator,_annotation,text,_sentence_text,annotation,sentiment_cat,aspect_cat
32,TP1179_sample_ger_180.txt,TP1179_sample_ger_180.txt_155-415,236,241,Florian_Debaene,"w.c.Link(Dependent=w.c.Emotions_Entities(ASP_SENT_NULL=NULL, begin=236, end=241, entitycategory=PERSON), Governor=w.c.Emotions_Entities(ASP_SENT_NULL=SENTIMENT, begin=214, end=235, sentimentcategory=4), begin=236, end=241, linktype=sentiment_of)",Volks,"Außer dem Pfarrer und Arzte , und einem kleinen Theile des besser unterrichteten Volks , hört man nur wer nig davon . - Der größte Theil der Einwohner , als Schiffer , Kaufmann und Pächter mannigfach bei schäftigt , hat in seinem eignen Hause vollauf zu thun .",NULL,4,PERSON
33,TP1179_sample_ger_180.txt,TP1179_sample_ger_180.txt_934-1546,1000,1007,Florian_Debaene,"w.c.Link(Dependent=w.c.Emotions_Entities(ASP_SENT_NULL=NULL, begin=1000, end=1007, entitycategory=PERSON), Governor=w.c.Emotions_Entities(ASP_SENT_NULL=SENTIMENT, begin=1008, end=1043, sentimentcategory=4), begin=1000, end=1007, linktype=sentiment_of)",Männern,"Ich bin jetzt mehr , als jemals , über zeugt , daß der Umgang mit Männern von Geist Wissenschaft , und Talent nicht allein den Geschmak befördert , sondern auch dem Vert stande die freiere Richtung giebt , ohne die ich sel , ten , in einem großen Wirkungskreise , viel Güte des Karakters angetroffen habe . - Man hört freilich in Norwegen weder von Raube , noch Diebstahl , aber diese Herren verkauf fen mit ruhigem Gewissen ihre Waaren zu einem Preise , der noch etwas mehr , als Diebstahl , ist So wurden hier , zwei oder drei , allgemein im Rufe der Redlichkeit stehende Häuser , auf Schleich handel ertappt .",NULL,4,PERSON
34,TP1179_sample_ger_180.txt,TP1179_sample_ger_180.txt_2258-2572,2540,2546,Florian_Debaene,"w.c.Link(Dependent=w.c.Emotions_Entities(ASP_SENT_NULL=NULL, begin=2540, end=2546, entitycategory=LOCATION), Governor=w.c.Emotions_Entities(ASP_SENT_NULL=SENTIMENT, begin=2528, end=2539, sentimentcategory=4), begin=2540, end=2546, linktype=sentiment_of)",Gegend,"Eine düstere Schwermut hängt bei diesem Gedan ken über dem Pfade meines Lebens ; und der Kum : mer gießt einen Nebel auf alle meine künftigen Aussichten , die keine Hoffnung mehr aufhellt . - Ein regnigter Morgen brachte mich um das Vergnügen , das die Ansicht einer so malerischen Gegend mir gewährt haben würde .",NULL,4,LOCATION
35,TP1179_sample_ger_180.txt,TP1179_sample_ger_180.txt_2573-2775,2610,2615,Florian_Debaene,"w.c.Link(Dependent=w.c.Emotions_Entities(ASP_SENT_NULL=NULL, begin=2610, end=2615, entitycategory=HUM_LANDFORM), Governor=w.c.Emotions_Entities(ASP_SENT_NULL=SENTIMENT, begin=2755, end=2773, sentimentcategory=4), begin=2610, end=2615, linktype=refers_to)",Weges,"Denn , wie wohl ein großer Theil des Weges , den ich durch reißte , nicht so angebaut ist , als ich hier gewohnt bin , so hat er demungeachtet alle die in Norwe gen so einheimischen wilden Schönheiten .",NULL,4,HUM_LANDFORM
36,TP1179_sample_ger_180.txt,TP1179_sample_ger_180.txt_2573-2775,2728,2737,Florian_Debaene,"w.c.Link(Dependent=w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=2728, end=2737, entitycategory=LOCATION), Governor=w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=2741, end=2754, entitycategory=LOCATION), begin=2728, end=2737, linktype=refers_to)",Norwe gen,"Denn , wie wohl ein großer Theil des Weges , den ich durch reißte , nicht so angebaut ist , als ich hier gewohnt bin , so hat er demungeachtet alle die in Norwe gen so einheimischen wilden Schönheiten .",ASPECT,,LOCATION
37,TP1179_sample_ger_180.txt,TP1179_sample_ger_180.txt_2573-2775,2755,2773,Florian_Debaene,"w.c.Link(Dependent=w.c.Emotions_Entities(ASP_SENT_NULL=SENTIMENT, begin=2755, end=2773, sentimentcategory=4), Governor=w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=2741, end=2754, entitycategory=LOCATION), begin=2755, end=2773, linktype=sentiment_of)",wilden Schönheiten,"Denn , wie wohl ein großer Theil des Weges , den ich durch reißte , nicht so angebaut ist , als ich hier gewohnt bin , so hat er demungeachtet alle die in Norwe gen so einheimischen wilden Schönheiten .",SENTIMENT,,
38,TP1179_sample_ger_180.txt,TP1179_sample_ger_180.txt_3459-3633,3530,3534,Florian_Debaene,"w.c.Link(Dependent=w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=3530, end=3534, entitycategory=NAT_PHENOMENON), Governor=w.c.Emotions_Entities(ASP_SENT_NULL=NULL, begin=3541, end=3592, entitycategory=NAT_PHENOMENON, sentimentcategory=4), begin=3530, end=3534, linktype=refers_to)",Luft,"Nichts beweißt mir so in die Aut gen leuchtend , das es vorzüglich die Luft ist , die den Wachsthum der Bäume und Pflanzen beför dert , als die schöne Gestalt dieser Tannen .",ASPECT,4,NAT_PHENOMENON
39,TP1179_sample_ger_180.txt,TP1179_sample_ger_180.txt_3459-3633,3625,3631,Florian_Debaene,"w.c.Link(Dependent=w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=3625, end=3631, entitycategory=FLORA), Governor=w.c.Emotions_Entities(ASP_SENT_NULL=SENTIMENT, begin=3603, end=3609, sentimentcategory=4), begin=3625, end=3631, linktype=sentiment_of)",Tannen,"Nichts beweißt mir so in die Aut gen leuchtend , das es vorzüglich die Luft ist , die den Wachsthum der Bäume und Pflanzen beför dert , als die schöne Gestalt dieser Tannen .",ASPECT,4,FLORA
40,TP1179_sample_ger_180.txt,TP1179_sample_ger_180.txt_3634-3763,3638,3645,Florian_Debaene,"w.c.Link(Dependent=w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=3638, end=3645, entitycategory=FAUNA), Governor=w.c.Emotions_Entities(ASP_SENT_NULL=SENTIMENT, begin=3717, end=3726, sentimentcategory=4), begin=3638, end=3645, linktype=sentiment_of)",Fichten,"Die Fichten brauchen einen tiefern Grund , und ich habe sie selten so schön und so zahlreich auf uns fruchtbaren Klippen gesehn .",ASPECT,4,FAUNA
41,TP1179_sample_ger_180.txt,TP1179_sample_ger_180.txt_3634-3763,3638,3645,Florian_Debaene,"w.c.Link(Dependent=w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=3638, end=3645, entitycategory=FAUNA), Governor=w.c.Emotions_Entities(ASP_SENT_NULL=SENTIMENT, begin=3704, end=3709, sentimentcategory=4), begin=3638, end=3645, linktype=refers_to)",Fichten,"Die Fichten brauchen einen tiefern Grund , und ich habe sie selten so schön und so zahlreich auf uns fruchtbaren Klippen gesehn .",ASPECT,4,FAUNA
