,source_file,sentence,begin,end,annotator,_annotation,text,_sentence_text,annotation,aspect_cat
258,TP1179_sample_ger_180.txt,TP1179_sample_ger_180.txt_0-154,8,27,Florian_Debaene,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=8, end=27, entitycategory=PERSON)",Wollstonecraft Mary,"Author: Wollstonecraft Mary 
Title: Wollstonecraft Mary 
Language: ger
Die Debatten über diesen Gegenstand sind hier nicht so allgemein , als in England .",ASPECT,PERSON
259,TP1179_sample_ger_180.txt,TP1179_sample_ger_180.txt_0-154,36,55,Florian_Debaene,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=36, end=55, entitycategory=PERSON)",Wollstonecraft Mary,"Author: Wollstonecraft Mary 
Title: Wollstonecraft Mary 
Language: ger
Die Debatten über diesen Gegenstand sind hier nicht so allgemein , als in England .",ASPECT,PERSON
260,TP1179_sample_ger_180.txt,TP1179_sample_ger_180.txt_0-154,145,152,Florian_Debaene,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=145, end=152, entitycategory=LOCATION)",England,"Author: Wollstonecraft Mary 
Title: Wollstonecraft Mary 
Language: ger
Die Debatten über diesen Gegenstand sind hier nicht so allgemein , als in England .",ASPECT,LOCATION
261,TP1179_sample_ger_180.txt,TP1179_sample_ger_180.txt_155-415,165,172,Florian_Debaene,"w.c.Emotions_Entities(ASP_SENT_NULL=NULL, begin=165, end=172, entitycategory=PERSON)",Pfarrer,"Außer dem Pfarrer und Arzte , und einem kleinen Theile des besser unterrichteten Volks , hört man nur wer nig davon . - Der größte Theil der Einwohner , als Schiffer , Kaufmann und Pächter mannigfach bei schäftigt , hat in seinem eignen Hause vollauf zu thun .",NULL,PERSON
262,TP1179_sample_ger_180.txt,TP1179_sample_ger_180.txt_155-415,177,182,Florian_Debaene,"w.c.Emotions_Entities(ASP_SENT_NULL=NULL, begin=177, end=182, entitycategory=PERSON)",Arzte,"Außer dem Pfarrer und Arzte , und einem kleinen Theile des besser unterrichteten Volks , hört man nur wer nig davon . - Der größte Theil der Einwohner , als Schiffer , Kaufmann und Pächter mannigfach bei schäftigt , hat in seinem eignen Hause vollauf zu thun .",NULL,PERSON
264,TP1179_sample_ger_180.txt,TP1179_sample_ger_180.txt_155-415,236,241,Florian_Debaene,"w.c.Emotions_Entities(ASP_SENT_NULL=NULL, begin=236, end=241, entitycategory=PERSON)",Volks,"Außer dem Pfarrer und Arzte , und einem kleinen Theile des besser unterrichteten Volks , hört man nur wer nig davon . - Der größte Theil der Einwohner , als Schiffer , Kaufmann und Pächter mannigfach bei schäftigt , hat in seinem eignen Hause vollauf zu thun .",NULL,PERSON
265,TP1179_sample_ger_180.txt,TP1179_sample_ger_180.txt_155-415,296,305,Florian_Debaene,"w.c.Emotions_Entities(ASP_SENT_NULL=NULL, begin=296, end=305, entitycategory=PERSON)",Einwohner,"Außer dem Pfarrer und Arzte , und einem kleinen Theile des besser unterrichteten Volks , hört man nur wer nig davon . - Der größte Theil der Einwohner , als Schiffer , Kaufmann und Pächter mannigfach bei schäftigt , hat in seinem eignen Hause vollauf zu thun .",NULL,PERSON
266,TP1179_sample_ger_180.txt,TP1179_sample_ger_180.txt_155-415,312,320,Florian_Debaene,"w.c.Emotions_Entities(ASP_SENT_NULL=NULL, begin=312, end=320, entitycategory=PERSON)",Schiffer,"Außer dem Pfarrer und Arzte , und einem kleinen Theile des besser unterrichteten Volks , hört man nur wer nig davon . - Der größte Theil der Einwohner , als Schiffer , Kaufmann und Pächter mannigfach bei schäftigt , hat in seinem eignen Hause vollauf zu thun .",NULL,PERSON
267,TP1179_sample_ger_180.txt,TP1179_sample_ger_180.txt_155-415,323,331,Florian_Debaene,"w.c.Emotions_Entities(ASP_SENT_NULL=NULL, begin=323, end=331, entitycategory=PERSON)",Kaufmann,"Außer dem Pfarrer und Arzte , und einem kleinen Theile des besser unterrichteten Volks , hört man nur wer nig davon . - Der größte Theil der Einwohner , als Schiffer , Kaufmann und Pächter mannigfach bei schäftigt , hat in seinem eignen Hause vollauf zu thun .",NULL,PERSON
268,TP1179_sample_ger_180.txt,TP1179_sample_ger_180.txt_155-415,336,343,Florian_Debaene,"w.c.Emotions_Entities(ASP_SENT_NULL=NULL, begin=336, end=343, entitycategory=PERSON)",Pächter,"Außer dem Pfarrer und Arzte , und einem kleinen Theile des besser unterrichteten Volks , hört man nur wer nig davon . - Der größte Theil der Einwohner , als Schiffer , Kaufmann und Pächter mannigfach bei schäftigt , hat in seinem eignen Hause vollauf zu thun .",NULL,PERSON
269,TP1179_sample_ger_180.txt,TP1179_sample_ger_180.txt_155-415,392,397,Florian_Debaene,"w.c.Emotions_Entities(ASP_SENT_NULL=NULL, begin=392, end=397, entitycategory=HUM_LANDFORM)",Hause,"Außer dem Pfarrer und Arzte , und einem kleinen Theile des besser unterrichteten Volks , hört man nur wer nig davon . - Der größte Theil der Einwohner , als Schiffer , Kaufmann und Pächter mannigfach bei schäftigt , hat in seinem eignen Hause vollauf zu thun .",NULL,HUM_LANDFORM
270,TP1179_sample_ger_180.txt,TP1179_sample_ger_180.txt_551-933,610,618,Florian_Debaene,"w.c.Emotions_Entities(ASP_SENT_NULL=NULL, begin=610, end=618, entitycategory=PERSON)",Familien,"Die Empfindungen des ersten beschränken sich blos auf ihre Familien , in denen sie mit ihren Mäge den ihre Vergnügungen , wo nicht gar ihr Vert mögen , theilen ; die Thätigkeit des letztern äußert sich nur durch ihre Oberaufsicht über ihre Arbeits- leute , und das Studium , sowohlfeil , als möglich , - - M 2 - ( 1 Zo ) ein , und so theiter , als sie nur können , zu ver : kaufen .",NULL,PERSON
271,TP1179_sample_ger_180.txt,TP1179_sample_ger_180.txt_551-933,791,805,Florian_Debaene,"w.c.Emotions_Entities(ASP_SENT_NULL=NULL, begin=791, end=805, entitycategory=PERSON)",Arbeits- leute,"Die Empfindungen des ersten beschränken sich blos auf ihre Familien , in denen sie mit ihren Mäge den ihre Vergnügungen , wo nicht gar ihr Vert mögen , theilen ; die Thätigkeit des letztern äußert sich nur durch ihre Oberaufsicht über ihre Arbeits- leute , und das Studium , sowohlfeil , als möglich , - - M 2 - ( 1 Zo ) ein , und so theiter , als sie nur können , zu ver : kaufen .",NULL,PERSON
272,TP1179_sample_ger_180.txt,TP1179_sample_ger_180.txt_934-1546,1000,1007,Florian_Debaene,"w.c.Emotions_Entities(ASP_SENT_NULL=NULL, begin=1000, end=1007, entitycategory=PERSON)",Männern,"Ich bin jetzt mehr , als jemals , über zeugt , daß der Umgang mit Männern von Geist Wissenschaft , und Talent nicht allein den Geschmak befördert , sondern auch dem Vert stande die freiere Richtung giebt , ohne die ich sel , ten , in einem großen Wirkungskreise , viel Güte des Karakters angetroffen habe . - Man hört freilich in Norwegen weder von Raube , noch Diebstahl , aber diese Herren verkauf fen mit ruhigem Gewissen ihre Waaren zu einem Preise , der noch etwas mehr , als Diebstahl , ist So wurden hier , zwei oder drei , allgemein im Rufe der Redlichkeit stehende Häuser , auf Schleich handel ertappt .",NULL,PERSON
274,TP1179_sample_ger_180.txt,TP1179_sample_ger_180.txt_934-1546,1264,1272,Florian_Debaene,"w.c.Emotions_Entities(ASP_SENT_NULL=ASPECT, begin=1264, end=1272, entitycategory=LOCATION)",Norwegen,"Ich bin jetzt mehr , als jemals , über zeugt , daß der Umgang mit Männern von Geist Wissenschaft , und Talent nicht allein den Geschmak befördert , sondern auch dem Vert stande die freiere Richtung giebt , ohne die ich sel , ten , in einem großen Wirkungskreise , viel Güte des Karakters angetroffen habe . - Man hört freilich in Norwegen weder von Raube , noch Diebstahl , aber diese Herren verkauf fen mit ruhigem Gewissen ihre Waaren zu einem Preise , der noch etwas mehr , als Diebstahl , ist So wurden hier , zwei oder drei , allgemein im Rufe der Redlichkeit stehende Häuser , auf Schleich handel ertappt .",ASPECT,LOCATION
275,TP1179_sample_ger_180.txt,TP1179_sample_ger_180.txt_934-1546,1319,1325,Florian_Debaene,"w.c.Emotions_Entities(ASP_SENT_NULL=NULL, begin=1319, end=1325, entitycategory=PERSON)",Herren,"Ich bin jetzt mehr , als jemals , über zeugt , daß der Umgang mit Männern von Geist Wissenschaft , und Talent nicht allein den Geschmak befördert , sondern auch dem Vert stande die freiere Richtung giebt , ohne die ich sel , ten , in einem großen Wirkungskreise , viel Güte des Karakters angetroffen habe . - Man hört freilich in Norwegen weder von Raube , noch Diebstahl , aber diese Herren verkauf fen mit ruhigem Gewissen ihre Waaren zu einem Preise , der noch etwas mehr , als Diebstahl , ist So wurden hier , zwei oder drei , allgemein im Rufe der Redlichkeit stehende Häuser , auf Schleich handel ertappt .",NULL,PERSON
