# Este fichero incluye todos los dataset multilingues con las etiquetas correctas.
text,sentence,annotation,aspect_cat,words,gold_labels
"['Weber, Max', 'Weber, Max', 'Station']","Author: Weber, Max,
Title: Weber, Max,
Language: Dutch
Station 211 .","['ASPECT', 'ASPECT', 'ASPECT']","['PERSON', 'PERSON', 'HUM_LANDFORM']","['Author', 'Weber', ',', 'Max', ',', 'Title', 'Weber', ',', 'Max', ',', 'Language', 'Dutch', 'Station', '211', '.']","['O', 'B-PERSON', 'I-PERSON', 'I-PERSON', 'O', 'O', 'B-PERSON', 'I-PERSON', 'I-PERSON', 'O', 'O', 'O', 'B-HUM_LANDFORM', 'O', 'O']"
['B. arenosa Goodsir'],It is very closely allied to B. arenosa Goodsir .,['ASPECT'],['FAUNA'],"['It', 'is', 'very', 'closely', 'allied', 'to', 'B', '.', 'arenosa', 'Goodsir', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-FAUNA', 'I-FAUNA', 'I-FAUNA', 'I-FAUNA', 'O']"
['Plankton'],Plankton .,['ASPECT'],['FAUNA'],"['Plankton', '.']","['B-FAUNA', 'O']"
['Plankton'],Plankton .,['ASPECT'],['FAUNA'],"['Plankton', '.']","['B-FAUNA', 'O']"
['Cyclaspoides'],Cyclaspoides .,['ASPECT'],['FAUNA'],"['Cyclaspoides', '.']","['B-FAUNA', 'O']"
['Cyclaspoides'],Cyclaspoides sp .,['ASPECT'],['FAUNA'],"['Cyclaspoides', 'sp', '.']","['B-FAUNA', 'O', 'O']"
['A single adult male specimen'],A single adult male specimen belonging to this genus was discovered by Prof.,['NULL_CAT'],['FAUNA'],"['A', 'single', 'adult', 'male', 'specimen', 'belonging', 'to', 'this', 'genus', 'was', 'discovered', 'by', 'Prof', '.']","['B-FAUNA', 'I-FAUNA', 'I-FAUNA', 'I-FAUNA', 'I-FAUNA', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
['Tunicate'],"Sluiter in the atrial cavity of a species of Tunicate from Station 271 , 1788 metres .",['ASPECT'],['FAUNA'],"['Sluiter', 'in', 'the', 'atrial', 'cavity', 'of', 'a', 'species', 'of', 'Tunicate', 'from', 'Station', '271', ',', '1788', 'metres', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FAUNA', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
['Univ'],Univ .,['ASPECT'],['ORGANISATION'],"['Univ', '.']","['B-ORGANISATION', 'O']"
['Lyon'],"Lyon XXVI , Campagne du `` Caudan '' , p. 530 ) .",['ASPECT'],['LOCATION'],"['Lyon', 'XXVI', ',', 'Campagne', 'du', 'Caudan', ""''"", ',', 'p', '.', '530', '.']","['B-LOCATION', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
['present specimen'],As the adult male of that species has not yet been described it seems inadvisable to venture on a more precise determination of the present specimen since the characters in which it differs from the females and immature males of C. sarsi might possibly be sexual differences .,['NULL_CAT'],['FAUNA'],"['As', 'the', 'adult', 'male', 'of', 'that', 'species', 'has', 'not', 'yet', 'been', 'described', 'it', 'seems', 'inadvisable', 'to', 'venture', 'on', 'a', 'more', 'precise', 'determination', 'of', 'the', 'present', 'specimen', 'since', 'the', 'characters', 'in', 'which', 'it', 'differs', 'from', 'the', 'females', 'and', 'immature', 'males', 'of', 'C', '.', 'sarsi', 'might', 'possibly', 'be', 'sexual', 'differences', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FAUNA', 'I-FAUNA', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
['C. exsculpta Sars'],"Resembling C. exsculpta Sars , in the general shape of the carapace , which is strongly sculptured with crests and hollows arranged in a manner comparable to that of the species named .",['ASPECT'],['FAUNA'],"['Resembling', 'C', '.', 'exsculpta', 'Sars', ',', 'in', 'the', 'general', 'shape', 'of', 'the', 'carapace', ',', 'which', 'is', 'strongly', 'sculptured', 'with', 'crests', 'and', 'hollows', 'arranged', 'in', 'a', 'manner', 'comparable', 'to', 'that', 'of', 'the', 'species', 'named', '.']","['O', 'B-FAUNA', 'I-FAUNA', 'I-FAUNA', 'I-FAUNA', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
['Tunicate'],The occurrence of the specimen in the atrial cavity of a Tunicate may have been accidental .,['ASPECT'],['FAUNA'],"['The', 'occurrence', 'of', 'the', 'specimen', 'in', 'the', 'atrial', 'cavity', 'of', 'a', 'Tunicate', 'may', 'have', 'been', 'accidental', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FAUNA', 'O', 'O', 'O', 'O', 'O']"
['HcteroatDia { t ) Weberi'],HcteroatDia { t ) Weberi n. sp .,['ASPECT'],['FAUNA'],"['HcteroatDia', 't', 'Weberi', 'n', '.', 'sp', '.']","['B-FAUNA', 'I-FAUNA', 'I-FAUNA', 'O', 'O', 'O', 'O']"
"['mud', 'superficial layer more liquid and brown']","Coarse grey mud , superficial layer more liquid and brown .","['ASPECT', 'NULL_CAT']","['LAND_COVER', 'LAND_COVER']","['Coarse', 'grey', 'mud', ',', 'superficial', 'layer', 'more', 'liquid', 'and', 'brown', '.']","['O', 'O', 'B-LAND_COVER', 'O', 'B-LAND_COVER', 'I-LAND_COVER', 'I-LAND_COVER', 'I-LAND_COVER', 'I-LAND_COVER', 'I-LAND_COVER', 'O']"
['Sars'],The downward continuation of the ridge below this tooth meets a straight horizontal ridge which runs backwards forming the lower boundary of the `` lateral depressed area '' of Sars ' description .,['ASPECT'],['FAUNA'],"['The', 'downward', 'continuation', 'of', 'the', 'ridge', 'below', 'this', 'tooth', 'meets', 'a', 'straight', 'horizontal', 'ridge', 'which', 'runs', 'backwards', 'forming', 'the', 'lower', 'boundary', 'of', 'the', 'lateral', 'depressed', 'area', ""''"", 'of', 'Sars', ""'"", 'description', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FAUNA', 'O', 'O', 'O']"
